stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.148,"[-2.497, 0.201]",1.349,-1.543,0.154
norefined,c,-6.618,"[-14.24, 1.005]",7.623,-1.573,0.147
norefined,s,-2.980,"[-6.559, 0.6]",3.580,-1.509,0.162
norefined,k0,1.169,"[-1.028, 3.367]",2.198,0.964,0.358
norefined,k1,0.827,"[-1.17, 2.823]",1.997,0.750,0.470
norefined,k2,-1.284,"[-3.629, 1.061]",2.345,-0.992,0.344
norefined,k3,-0.101,"[-1.367, 1.164]",1.266,-0.145,0.888
norefined,k4,-0.378,"[-2.523, 1.767]",2.145,-0.320,0.756
norefined,k5,1.130,"[-0.974, 3.234]",2.104,0.973,0.353
refined,tt,-1.627,"[-2.771, -0.484]",1.144,-2.579,0.027
refined,c,-8.379,"[-14.776, -1.982]",6.397,-2.374,0.039
refined,s,-3.647,"[-6.515, -0.778]",2.869,-2.304,0.044
refined,k0,0.710,"[-0.609, 2.029]",1.319,0.975,0.352
refined,k1,0.400,"[-1.04, 1.84]",1.440,0.504,0.625
refined,k2,-0.476,"[-2.209, 1.256]",1.732,-0.498,0.629
refined,k3,0.656,"[-0.408, 1.721]",1.064,1.118,0.290
refined,k4,0.462,"[-1.175, 2.1]",1.637,0.512,0.620
refined,k5,0.631,"[-1.134, 2.397]",1.766,0.648,0.532
