stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,0.000,10.128,1.000,0,1,144373.108,144373.108,4
refined,59.350,10.128,0.005,0,1,144373.108,6946.573,4
