stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,22.065,4.667,0.000,0,1,66041.671,24484.506,14
refined,329.878,4.667,0.000,0,1,66041.671,2503.926,14
