stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-14.000,"[-44326.915, 44298.915]",44312.915,-0.001,0.999
refined,tt,0.000,"[-1.311, 1.311]",1.311,0.000,1.000
