stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,320.300,4.667,0.000,0,1,1732423.129,67571.344,14
refined,546.311,4.667,0.000,0,1,1732423.129,40266.491,14
