stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,546.326,4.667,0.000,0,1,1732423.129,40265.399,14
refined,546.326,4.667,0.000,0,1,1732423.129,40265.399,14
