stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-2.000,"[-2.629, -1.371]",0.629,-6.873,0.000
refined,tt,-0.976,"[-1.11, -0.841]",0.134,-15.678,0.000
