stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.923,"[-1.564, -0.281]",0.642,-2.871,0.005
norefined,c,-4.973,"[-8.933, -1.013]",3.960,-2.506,0.015
norefined,s,-4.062,"[-6.663, -1.46]",2.601,-3.116,0.003
norefined,k0,-1.226,"[-2.957, 0.505]",1.731,-1.414,0.162
norefined,k1,-0.267,"[-1.391, 0.856]",1.123,-0.475,0.636
norefined,k2,-0.268,"[-1.833, 1.298]",1.565,-0.341,0.734
norefined,k3,1.030,"[-0.23, 2.29]",1.260,1.631,0.108
norefined,k4,-0.251,"[-1.484, 0.981]",1.233,-0.407,0.685
norefined,k5,0.682,"[-0.667, 2.031]",1.349,1.009,0.317
refined,tt,-0.890,"[-1.3, -0.479]",0.411,-4.324,0.000
refined,c,-6.287,"[-9.412, -3.162]",3.125,-4.016,0.000
refined,s,-2.789,"[-4.043, -1.534]",1.254,-4.437,0.000
refined,k0,-0.658,"[-1.567, 0.251]",0.909,-1.445,0.153
refined,k1,0.129,"[-0.593, 0.85]",0.721,0.356,0.723
refined,k2,-0.125,"[-0.822, 0.572]",0.697,-0.358,0.722
refined,k3,0.454,"[-0.268, 1.177]",0.723,1.255,0.214
refined,k4,0.481,"[-0.291, 1.253]",0.772,1.244,0.218
refined,k5,-0.253,"[-0.906, 0.401]",0.653,-0.772,0.443
