stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.526,"[-0.955, -0.098]",0.428,-2.450,0.017
norefined,c,-4.970,"[-8.945, -0.995]",3.975,-2.496,0.015
norefined,s,-2.399,"[-4.125, -0.674]",1.726,-2.775,0.007
norefined,k0,0.464,"[-0.461, 1.39]",0.926,1.001,0.320
norefined,k1,-0.535,"[-1.459, 0.389]",0.924,-1.155,0.252
norefined,k2,0.221,"[-0.64, 1.081]",0.860,0.512,0.610
norefined,k3,-0.024,"[-0.835, 0.787]",0.811,-0.059,0.953
norefined,k4,-0.948,"[-2.083, 0.187]",1.135,-1.667,0.100
norefined,k5,-1.196,"[-2.166, -0.225]",0.971,-2.458,0.017
refined,tt,-1.216,"[-1.79, -0.642]",0.574,-4.230,0.000
refined,c,-7.709,"[-11.772, -3.646]",4.063,-3.787,0.000
refined,s,-3.576,"[-5.349, -1.803]",1.773,-4.026,0.000
refined,k0,0.512,"[-0.256, 1.28]",0.768,1.332,0.188
refined,k1,-0.269,"[-0.988, 0.45]",0.719,-0.747,0.458
refined,k2,-0.502,"[-1.229, 0.224]",0.727,-1.380,0.172
refined,k3,-0.245,"[-0.93, 0.44]",0.685,-0.714,0.478
refined,k4,0.199,"[-0.774, 1.173]",0.974,0.409,0.684
refined,k5,-0.569,"[-1.283, 0.146]",0.715,-1.587,0.117
