stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,-0.642,-4.689,-4.092,-0.356,0.129,-0.745,1.040,0.868,-1.797,907280980.923,1584,0,0,0.137
norefined,2,-1.086,-4.760,-3.972,-0.438,0.014,-0.756,1.031,0.752,-1.810,622236320.218,1584,0,0,0.228
norefined,3,-1.378,-4.919,-3.739,-0.578,-0.147,-0.762,1.019,0.556,-1.817,550018897.076,1584,0,0,0.280
norefined,4,-0.956,-5.114,-3.657,-0.633,-0.188,-0.854,0.939,0.477,-1.784,532984021.475,1584,0,0,0.187
norefined,5,-1.395,-5.164,-3.524,-0.740,-0.262,-0.820,0.890,0.352,-1.753,505106086.299,1584,0,0,0.270
norefined,6,-0.935,-5.296,-3.538,-0.755,-0.241,-0.901,0.785,0.328,-1.702,506133994.536,1584,0,0,0.177
norefined,7,-1.403,-5.313,-3.443,-0.835,-0.280,-0.847,0.741,0.243,-1.655,484350087.001,1584,0,0,0.264
norefined,8,-0.939,-5.424,-3.486,-0.831,-0.242,-0.921,0.637,0.238,-1.600,491874113.148,1584,0,0,0.173
norefined,9,-1.416,-5.427,-3.404,-0.887,-0.268,-0.851,0.614,0.178,-1.552,472012889.213,1584,0,0,0.261
norefined,10,-0.949,-5.530,-3.456,-0.874,-0.225,-0.922,0.521,0.183,-1.497,482620193.924,1584,0,0,0.172
refined,11,-1.416,-5.427,-3.404,-0.887,-0.268,-0.851,0.614,0.178,-1.552,472012889.213,1584,0,0,0.261
refined,12,-1.150,-5.610,-2.592,-0.406,-0.010,-0.559,-0.308,-0.109,0.216,389445211.132,1584,0,0,0.205
refined,13,-1.526,-7.777,-3.384,-0.555,0.093,-0.528,-0.520,0.100,0.117,382264737.176,1584,0,0,0.196
refined,14,-1.445,-7.643,-3.279,-0.488,-0.012,-0.454,-0.506,0.304,0.090,381385578.753,1584,0,0,0.189
refined,15,-1.568,-8.335,-3.529,-0.557,0.042,-0.491,-0.579,0.367,0.101,381155911.903,1584,0,0,0.188
refined,16,-1.548,-8.280,-3.499,-0.538,0.011,-0.477,-0.568,0.424,0.090,381111348.296,1584,0,0,0.187
refined,17,-1.580,-8.462,-3.563,-0.556,0.028,-0.487,-0.587,0.440,0.090,381099050.398,1584,0,0,0.187
refined,18,-1.574,-8.443,-3.554,-0.551,0.019,-0.483,-0.583,0.455,0.086,381096087.978,1584,0,0,0.186
refined,19,-1.583,-8.491,-3.571,-0.556,0.024,-0.486,-0.588,0.459,0.086,381095287.861,1584,0,0,0.186
refined,20,-1.581,-8.485,-3.568,-0.554,0.022,-0.485,-0.587,0.463,0.085,381095081.936,1584,0,0,0.186
