stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,-0.642,-4.689,-4.092,-0.356,0.129,-0.745,1.040,0.868,-1.797,1223706605.299,1584,0,0,0.137
norefined,2,-1.130,-4.689,-4.011,-0.377,0.094,-0.716,1.075,0.829,-1.797,1033532079.139,1584,0,0,0.241
norefined,3,-0.664,-4.821,-3.973,-0.286,0.097,-0.776,1.082,0.841,-1.755,1180860758.348,1584,0,0,0.138
norefined,4,-1.154,-4.814,-3.897,-0.303,0.068,-0.744,1.113,0.807,-1.751,1026044476.703,1584,0,0,0.240
norefined,5,-0.670,-4.909,-3.911,-0.247,0.085,-0.786,1.101,0.821,-1.716,1165904767.939,1584,0,0,0.136
norefined,6,-1.161,-4.899,-3.839,-0.263,0.059,-0.752,1.129,0.791,-1.712,1021295311.467,1584,0,0,0.237
norefined,7,-0.674,-4.983,-3.868,-0.218,0.080,-0.788,1.114,0.805,-1.679,1156499120.988,1584,0,0,0.135
norefined,8,-1.166,-4.970,-3.799,-0.232,0.056,-0.752,1.140,0.777,-1.674,1017731981.739,1584,0,0,0.235
norefined,9,-0.678,-5.048,-3.836,-0.194,0.078,-0.785,1.123,0.791,-1.643,1149660763.201,1584,0,0,0.134
norefined,10,-1.170,-5.033,-3.769,-0.208,0.057,-0.748,1.147,0.764,-1.637,1014847368.777,1584,0,0,0.232
refined,11,-1.170,-5.033,-3.769,-0.208,0.057,-0.748,1.147,0.764,-1.637,1014847368.777,1584,0,0,0.232
refined,12,-0.079,-2.226,-0.295,0.445,0.769,0.426,0.694,-1.916,2.514,3458626622.004,1584,0,0,0.035
refined,13,-0.113,0.267,-0.358,0.269,-0.196,-0.069,-0.132,1.070,-1.429,2245038649.162,1584,0,0,-0.424
refined,14,-0.110,-0.819,-0.392,0.248,0.303,-0.027,0.502,-0.033,0.021,612755759.349,1584,0,0,0.134
refined,15,-0.131,-0.764,-0.485,0.316,0.243,-0.016,0.499,0.009,-0.104,570003665.082,1584,0,0,0.171
refined,16,-0.133,-0.766,-0.500,0.326,0.236,-0.019,0.495,-0.003,-0.097,569548440.655,1584,0,0,0.174
refined,17,-0.133,-0.766,-0.501,0.327,0.235,-0.019,0.494,-0.006,-0.095,569540195.632,1584,0,0,0.174
refined,18,-0.133,-0.766,-0.502,0.327,0.235,-0.019,0.494,-0.006,-0.095,569540021.660,1584,0,0,0.174
refined,19,-0.133,-0.766,-0.502,0.327,0.234,-0.019,0.494,-0.006,-0.095,569540017.907,1584,0,0,0.174
refined,20,-0.133,-0.766,-0.502,0.327,0.234,-0.019,0.494,-0.006,-0.095,569540017.826,1584,0,0,0.174
