stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.752,"[-1.684, 0.181]",0.932,-1.461,0.175
norefined,c,-5.508,"[-12.848, 1.831]",7.339,-1.360,0.204
norefined,s,-2.579,"[-6.517, 1.359]",3.938,-1.187,0.263
norefined,k0,-0.629,"[-2.551, 1.293]",1.922,-0.593,0.566
norefined,k1,-0.808,"[-3.108, 1.491]",2.299,-0.637,0.538
norefined,k2,0.614,"[-1.903, 3.132]",2.517,0.442,0.668
norefined,k3,-0.972,"[-3.347, 1.402]",2.374,-0.742,0.475
norefined,k4,0.824,"[-1.266, 2.914]",2.090,0.714,0.491
norefined,k5,0.003,"[-1.708, 1.715]",1.711,0.004,0.997
refined,tt,-2.195,"[-4.646, 0.257]",2.452,-1.622,0.136
refined,c,-13.969,"[-29.651, 1.714]",15.683,-1.614,0.138
refined,s,-3.715,"[-7.876, 0.445]",4.160,-1.619,0.137
refined,k0,-1.095,"[-3.262, 1.072]",2.167,-0.916,0.381
refined,k1,1.814,"[-2.819, 6.447]",4.633,0.710,0.494
refined,k2,-1.583,"[-4.045, 0.879]",2.462,-1.165,0.271
refined,k3,0.020,"[-2.413, 2.452]",2.433,0.015,0.989
refined,k4,1.327,"[-1.186, 3.841]",2.514,0.957,0.361
refined,k5,2.530,"[-1.237, 6.298]",3.767,1.217,0.251
