stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,-0.706,-5.146,-2.668,-0.402,-0.435,1.275,-0.866,1.300,0.395,310972966.164,0.137
norefined,2,-1.106,-5.157,-2.626,-0.442,-0.544,1.142,-0.975,1.123,0.281,171849986.554,0.215
norefined,3,-0.651,-5.291,-2.618,-0.441,-0.604,1.080,-0.981,1.025,0.197,181840386.586,0.123
norefined,4,-1.106,-5.274,-2.586,-0.469,-0.678,0.980,-1.053,0.904,0.123,150591082.505,0.210
norefined,5,-0.619,-5.369,-2.606,-0.455,-0.671,0.988,-0.998,0.917,0.110,163571466.442,0.115
norefined,6,-1.095,-5.340,-2.582,-0.477,-0.729,0.911,-1.046,0.828,0.061,145012944.909,0.205
norefined,7,-0.610,-5.423,-2.616,-0.457,-0.708,0.930,-0.980,0.865,0.064,156966700.463,0.112
norefined,8,-1.092,-5.389,-2.595,-0.477,-0.759,0.865,-1.019,0.791,0.026,142426480.068,0.203
norefined,9,-0.609,-5.467,-2.635,-0.455,-0.732,0.888,-0.950,0.838,0.037,153113633.067,0.111
norefined,10,-1.094,-5.431,-2.614,-0.474,-0.779,0.829,-0.985,0.771,0.005,140658152.241,0.201
refined,11,-1.094,-5.431,-2.614,-0.474,-0.779,0.829,-0.985,0.771,0.005,140658152.241,0.201
refined,12,-0.632,-4.865,-2.024,0.539,0.194,-0.449,0.457,-0.196,0.539,158458026.419,0.130
refined,13,-0.827,-5.639,-2.438,0.097,0.027,-0.240,-0.043,0.194,0.368,69204612.586,0.147
refined,14,-0.934,-6.140,-2.734,0.033,0.001,-0.135,-0.027,0.241,0.347,66989107.489,0.152
refined,15,-0.946,-6.196,-2.745,0.016,0.006,-0.141,-0.014,0.235,0.380,66942146.915,0.153
refined,16,-0.951,-6.223,-2.757,0.017,0.008,-0.142,-0.010,0.234,0.382,66941144.528,0.153
refined,17,-0.950,-6.222,-2.756,0.016,0.008,-0.143,-0.010,0.234,0.383,66941109.613,0.153
refined,18,-0.951,-6.223,-2.756,0.016,0.009,-0.143,-0.010,0.234,0.383,66941107.606,0.153
refined,19,-0.951,-6.223,-2.756,0.016,0.009,-0.143,-0.010,0.234,0.383,66941107.455,0.153
refined,20,-0.951,-6.223,-2.756,0.016,0.009,-0.143,-0.010,0.234,0.383,66941107.443,0.153
