attr,theta,width_confint,width_CI,t-test,pvalue,time,method,rep,objective,nrmse,theta_true,bias,fn,fp,f_type
tt,-1.126,"[-1.56, -0.691]",0.434,-4.323,0.000,11.256,ngd,49,266923200.807,0.167,-1.000,-0.126,0,0,fn
c,-7.544,"[-10.413, -4.675]",2.869,-4.386,0.000,11.256,ngd,49,266923200.807,0.167,-6.000,-1.544,0,0,fn
s,-3.741,"[-5.095, -2.388]",1.354,-4.610,0.000,11.256,ngd,49,266923200.807,0.167,-3.000,-0.741,0,0,fn
k0,-0.294,"[-0.913, 0.324]",0.619,-0.794,0.430,11.256,ngd,49,266923200.807,0.167,0.000,-0.294,0,0,fp
k1,0.038,"[-0.513, 0.59]",0.552,0.115,0.908,11.256,ngd,49,266923200.807,0.167,0.000,0.038,0,0,fp
k2,0.055,"[-0.814, 0.925]",0.869,0.106,0.916,11.256,ngd,49,266923200.807,0.167,0.000,0.055,0,0,fp
k3,0.672,"[-0.053, 1.397]",0.725,1.547,0.127,11.256,ngd,49,266923200.807,0.167,0.000,0.672,0,0,fp
k4,0.509,"[-0.039, 1.057]",0.548,1.550,0.126,11.256,ngd,49,266923200.807,0.167,0.000,0.509,0,0,fp
k5,-0.138,"[-0.52, 0.243]",0.381,-0.606,0.547,11.256,ngd,49,266923200.807,0.167,0.000,-0.138,0,0,fp
vot,0.149,,,,,11.256,ngd,49,266923200.807,0.167,0.167,-0.017,0,0,fn
tt,0.327,"[-0.388, 1.041]",0.714,0.762,0.448,12.045,lm,49,3635721113.587,0.615,-1.000,1.327,1,0,fn
c,-7.766,"[-23.943, 8.411]",16.177,-0.801,0.426,12.045,lm,49,3635721113.587,0.615,-6.000,-1.766,1,0,fn
s,-3.237,"[-10.387, 3.913]",7.150,-0.755,0.453,12.045,lm,49,3635721113.587,0.615,-3.000,-0.237,1,0,fn
k0,-0.183,"[-5.347, 4.981]",5.164,-0.059,0.953,12.045,lm,49,3635721113.587,0.615,0.000,-0.183,0,0,fp
k1,-0.763,"[-3.885, 2.359]",3.122,-0.407,0.685,12.045,lm,49,3635721113.587,0.615,0.000,-0.763,0,0,fp
k2,0.630,"[-3.486, 4.745]",4.115,0.255,0.799,12.045,lm,49,3635721113.587,0.615,0.000,0.630,0,0,fp
k3,0.389,"[-3.91, 4.688]",4.299,0.151,0.881,12.045,lm,49,3635721113.587,0.615,0.000,0.389,0,0,fp
k4,1.259,"[-2.14, 4.657]",3.398,0.618,0.539,12.045,lm,49,3635721113.587,0.615,0.000,1.259,0,0,fp
k5,-1.598,"[-7.7, 4.504]",6.102,-0.437,0.664,12.045,lm,49,3635721113.587,0.615,0.000,-1.598,0,0,fp
vot,-0.042,,,,,12.045,lm,49,3635721113.587,0.615,0.167,-0.209,0,0,fn
tt,-0.635,"[-0.827, -0.443]",0.192,-5.520,0.000,22.981,ngd+lm,49,171727472.737,0.134,-1.000,0.365,0,0,fn
c,-3.889,"[-5.03, -2.747]",1.142,-5.680,0.000,22.981,ngd+lm,49,171727472.737,0.134,-6.000,2.111,0,0,fn
s,-1.926,"[-2.461, -1.39]",0.535,-5.998,0.000,22.981,ngd+lm,49,171727472.737,0.134,-3.000,1.074,0,0,fn
k0,-0.093,"[-0.418, 0.233]",0.326,-0.474,0.637,22.981,ngd+lm,49,171727472.737,0.134,0.000,-0.093,0,0,fp
k1,0.141,"[-0.163, 0.444]",0.304,0.772,0.443,22.981,ngd+lm,49,171727472.737,0.134,0.000,0.141,0,0,fp
k2,0.131,"[-0.259, 0.522]",0.391,0.560,0.577,22.981,ngd+lm,49,171727472.737,0.134,0.000,0.131,0,0,fp
k3,0.048,"[-0.269, 0.365]",0.317,0.252,0.802,22.981,ngd+lm,49,171727472.737,0.134,0.000,0.048,0,0,fp
k4,0.302,"[0.026, 0.578]",0.276,1.826,0.072,22.981,ngd+lm,49,171727472.737,0.134,0.000,0.302,0,1,fp
k5,0.081,"[-0.127, 0.288]",0.207,0.649,0.518,22.981,ngd+lm,49,171727472.737,0.134,0.000,0.081,0,0,fp
vot,0.163,,,,,22.981,ngd+lm,49,171727472.737,0.134,0.167,-0.003,0,0,fn
