stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.687,"[-2.879, -0.494]",1.193,-2.359,0.021
norefined,c,-6.982,"[-12.053, -1.912]",5.071,-2.297,0.025
norefined,s,-3.821,"[-6.748, -0.894]",2.927,-2.177,0.033
norefined,k0,0.565,"[-0.908, 2.037]",1.472,0.640,0.524
norefined,k1,0.304,"[-0.542, 1.15]",0.846,0.599,0.551
norefined,k2,0.054,"[-1.065, 1.173]",1.119,0.081,0.936
norefined,k3,-0.047,"[-1.083, 0.988]",1.036,-0.076,0.939
norefined,k4,-0.531,"[-2.055, 0.993]",1.524,-0.581,0.563
norefined,k5,-0.881,"[-2.4, 0.637]",1.519,-0.968,0.336
refined,tt,-37.488,"[-348.286, 273.31]",310.798,-0.201,0.841
refined,c,-186.648,"[-1738.452, 1365.156]",1551.804,-0.201,0.842
refined,s,-104.600,"[-956.845, 747.645]",852.245,-0.205,0.838
refined,k0,17.385,"[-110.622, 145.393]",128.008,0.227,0.821
refined,k1,35.922,"[-270.728, 342.572]",306.650,0.195,0.846
refined,k2,-8.703,"[-97.062, 79.656]",88.359,-0.164,0.870
refined,k3,3.293,"[-19.446, 26.032]",22.739,0.242,0.810
refined,k4,-52.272,"[-502.125, 397.581]",449.853,-0.194,0.847
refined,k5,-8.286,"[-67.75, 51.179]",59.464,-0.232,0.817
