stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.295,"[-2.086, -0.504]",0.791,-3.269,0.002
norefined,c,-5.297,"[-8.85, -1.744]",3.553,-2.976,0.004
norefined,s,-3.319,"[-5.47, -1.169]",2.151,-3.081,0.003
norefined,k0,-0.081,"[-1.008, 0.846]",0.927,-0.174,0.863
norefined,k1,-0.245,"[-1.346, 0.856]",1.101,-0.445,0.658
norefined,k2,0.333,"[-1.463, 2.129]",1.796,0.370,0.713
norefined,k3,0.732,"[-0.515, 1.978]",1.246,1.171,0.246
norefined,k4,-0.188,"[-1.44, 1.063]",1.252,-0.300,0.765
norefined,k5,0.880,"[-0.51, 2.27]",1.390,1.264,0.211
refined,tt,-0.688,"[-0.942, -0.434]",0.254,-5.399,0.000
refined,c,-3.560,"[-5.016, -2.103]",1.456,-4.879,0.000
refined,s,-2.008,"[-2.757, -1.26]",0.749,-5.355,0.000
refined,k0,-0.205,"[-0.609, 0.2]",0.405,-1.008,0.317
refined,k1,0.239,"[-0.236, 0.713]",0.475,1.004,0.319
refined,k2,-0.018,"[-0.835, 0.8]",0.818,-0.043,0.966
refined,k3,-0.062,"[-0.608, 0.483]",0.546,-0.228,0.820
refined,k4,0.224,"[-0.328, 0.775]",0.552,0.810,0.421
refined,k5,0.300,"[-0.219, 0.82]",0.520,1.154,0.253
