stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,-2.756,-7.297,-2.210,-0.350,-0.961,-0.615,-0.048,1.007,-1.014,1270563418.377,0.378
norefined,2,-2.328,-7.367,-2.418,-0.382,-1.059,-0.632,0.006,1.047,-0.960,909997606.532,0.316
norefined,3,-1.877,-7.422,-2.602,-0.419,-1.145,-0.634,-0.011,1.061,-0.938,553643004.036,0.253
norefined,4,-1.413,-7.465,-2.760,-0.452,-1.205,-0.628,-0.060,1.067,-0.923,283003217.978,0.189
norefined,5,-0.938,-7.497,-2.910,-0.443,-1.203,-0.595,-0.075,1.080,-0.904,273541004.762,0.125
norefined,6,-1.416,-7.450,-2.885,-0.452,-1.153,-0.585,-0.041,0.960,-0.932,269299382.029,0.190
norefined,7,-0.939,-7.484,-3.025,-0.443,-1.150,-0.552,-0.055,0.976,-0.913,264329322.074,0.126
norefined,8,-1.417,-7.440,-2.992,-0.452,-1.095,-0.539,-0.020,0.860,-0.939,257420791.119,0.190
norefined,9,-0.939,-7.475,-3.125,-0.442,-1.090,-0.506,-0.033,0.879,-0.919,256569717.339,0.126
norefined,10,-1.417,-7.433,-3.085,-0.452,-1.031,-0.493,0.002,0.768,-0.944,246959296.001,0.191
refined,11,-1.417,-7.433,-3.085,-0.452,-1.031,-0.493,0.002,0.768,-0.944,246959296.001,0.191
refined,12,-1.233,-6.578,-4.052,-0.817,0.432,0.592,-0.009,-0.058,-0.122,182877177.875,0.187
refined,13,-1.649,-9.008,-5.139,-0.714,0.242,0.409,0.022,0.099,-0.529,153904750.484,0.183
refined,14,-2.018,-11.002,-6.094,-0.689,0.058,0.550,0.285,0.362,-0.739,150753863.984,0.183
refined,15,-2.209,-11.964,-6.657,-0.837,0.017,0.668,0.470,0.491,-0.771,150182261.324,0.185
refined,16,-2.304,-12.452,-6.912,-0.900,-0.019,0.732,0.555,0.558,-0.786,150061244.546,0.185
refined,17,-2.363,-12.762,-7.078,-0.936,-0.029,0.770,0.601,0.586,-0.791,150035052.321,0.185
refined,18,-2.388,-12.896,-7.143,-0.951,-0.039,0.789,0.619,0.599,-0.790,150028695.140,0.185
refined,19,-2.405,-12.988,-7.190,-0.960,-0.042,0.800,0.632,0.605,-0.791,150027050.303,0.185
refined,20,-2.412,-13.023,-7.206,-0.964,-0.044,0.805,0.636,0.609,-0.790,150026605.808,0.185
