stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,58.115,2.023,0.000,0,9,2576015335.488,292514042.778,76
refined,177.074,2.023,0.000,0,9,2576015335.488,103930049.891,76
