stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,62.207,2.023,0.000,0,9,2775355249.992,296632019.300,76
refined,172.618,2.023,0.000,0,9,2775355249.992,114743665.635,76
