stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.008,"[-1.933, -0.082]",0.926,-2.173,0.033
norefined,c,-6.230,"[-11.187, -1.273]",4.957,-2.509,0.015
norefined,s,-3.628,"[-6.579, -0.677]",2.951,-2.454,0.017
norefined,k0,0.042,"[-0.604, 0.688]",0.646,0.130,0.897
norefined,k1,-1.306,"[-2.384, -0.227]",1.078,-2.417,0.018
norefined,k2,-0.072,"[-1.205, 1.062]",1.133,-0.126,0.900
norefined,k3,0.591,"[-0.36, 1.543]",0.951,1.240,0.219
norefined,k4,-0.157,"[-1.186, 0.872]",1.029,-0.305,0.762
norefined,k5,-0.504,"[-1.509, 0.501]",1.005,-1.002,0.320
refined,tt,-1.060,"[-1.678, -0.443]",0.618,-3.426,0.001
refined,c,-6.131,"[-9.384, -2.877]",3.254,-3.761,0.000
refined,s,-2.898,"[-4.564, -1.231]",1.666,-3.471,0.001
refined,k0,-0.119,"[-0.597, 0.36]",0.479,-0.494,0.623
refined,k1,-0.446,"[-0.998, 0.106]",0.552,-1.613,0.111
refined,k2,0.182,"[-0.635, 0.999]",0.817,0.445,0.658
refined,k3,0.014,"[-0.652, 0.68]",0.666,0.042,0.966
refined,k4,-0.111,"[-0.847, 0.626]",0.737,-0.300,0.765
refined,k5,-0.191,"[-0.853, 0.47]",0.661,-0.577,0.566
