stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,58.536,2.023,0.000,0,9,3889977390.123,438900655.076,76
refined,85.575,2.023,0.000,0,9,3889977390.123,311318765.008,76
