stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,25.194,1.727,0.000,76,0,9,3789088778.833,864246331.212
refined,37.296,1.727,0.000,76,0,9,3789088778.833,630466635.088
