stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,50.411,1.727,0.000,76,0,9,2997071220.457,385644164.911
refined,74.323,1.727,0.000,76,0,9,2997071220.457,272864699.371
