stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.633,"[-0.978, -0.288]",0.345,-3.062,0.003
norefined,c,-5.953,"[-9.168, -2.738]",3.215,-3.089,0.003
norefined,s,-2.551,"[-3.99, -1.113]",1.438,-2.958,0.004
norefined,k0,0.215,"[-0.541, 0.971]",0.756,0.474,0.637
norefined,k1,-0.366,"[-0.918, 0.186]",0.552,-1.105,0.273
norefined,k2,-0.830,"[-1.735, 0.074]",0.905,-1.531,0.130
norefined,k3,0.763,"[0.022, 1.505]",0.742,1.717,0.091
norefined,k4,0.475,"[-0.301, 1.252]",0.777,1.021,0.311
norefined,k5,0.810,"[-0.273, 1.892]",1.083,1.247,0.217
refined,tt,-0.807,"[-1.139, -0.476]",0.331,-4.063,0.000
refined,c,-5.253,"[-7.763, -2.743]",2.510,-3.491,0.001
refined,s,-2.359,"[-3.415, -1.304]",1.055,-3.728,0.000
refined,k0,0.020,"[-0.568, 0.608]",0.588,0.056,0.956
refined,k1,0.153,"[-0.241, 0.547]",0.394,0.648,0.519
refined,k2,-0.322,"[-0.98, 0.337]",0.659,-0.815,0.418
refined,k3,0.211,"[-0.384, 0.806]",0.595,0.592,0.556
refined,k4,0.166,"[-0.419, 0.75]",0.585,0.472,0.638
refined,k5,0.881,"[0.097, 1.665]",0.784,1.875,0.065
