stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,-2.580,-6.105,-2.500,0.117,-0.809,-1.739,0.915,1.260,0.841,1124823582.571,1584,0,0,0.423
norefined,2,-2.178,-6.169,-2.737,0.144,-0.863,-1.835,0.829,1.177,0.809,849622957.204,1584,0,0,0.353
norefined,3,-1.727,-6.230,-2.925,0.159,-0.859,-1.882,0.780,1.131,0.808,579659812.379,1584,0,0,0.277
norefined,4,-1.253,-6.296,-3.048,0.163,-0.810,-1.871,0.765,1.097,0.853,319522827.029,1584,0,0,0.199
norefined,5,-0.804,-6.401,-3.060,0.157,-0.710,-1.770,0.761,1.014,0.953,119503039.875,1584,0,0,0.126
norefined,6,-0.388,-6.526,-3.033,0.112,-0.609,-1.617,0.756,0.903,1.064,134681140.391,1584,0,0,0.059
norefined,7,-0.882,-6.510,-3.018,0.074,-0.646,-1.616,0.725,0.883,1.035,104416838.669,1584,0,0,0.135
norefined,8,-0.452,-6.625,-3.011,0.038,-0.551,-1.475,0.710,0.770,1.130,116743958.944,1584,0,0,0.068
norefined,9,-0.947,-6.597,-3.001,0.007,-0.593,-1.477,0.683,0.757,1.097,94160345.674,1584,0,0,0.144
norefined,10,-0.504,-6.700,-3.019,-0.021,-0.506,-1.352,0.660,0.644,1.174,105844445.575,1584,0,0,0.075
refined,11,-0.947,-6.597,-3.001,0.007,-0.593,-1.477,0.683,0.757,1.097,94160345.674,1584,0,0,0.144
refined,12,-1.687,-8.990,-5.809,0.209,-0.553,0.514,0.820,-1.139,0.532,34128109.710,1584,0,0,0.188
refined,13,-1.512,-7.027,-6.075,-0.156,0.545,1.089,1.069,-1.381,0.903,35466513.878,1584,0,0,0.215
refined,14,-1.637,-8.256,-6.357,0.228,-0.072,1.024,1.425,-1.802,0.870,27320152.107,1584,0,0,0.198
refined,15,-1.584,-7.890,-6.160,0.022,0.390,0.858,1.285,-1.543,0.797,27136361.737,1584,0,0,0.201
refined,16,-1.752,-8.785,-6.766,0.210,0.126,1.036,1.420,-1.831,0.788,27078478.483,1584,0,0,0.199
refined,17,-1.546,-7.677,-5.980,0.005,0.429,0.814,1.261,-1.504,0.830,27366915.313,1584,0,0,0.201
refined,18,-1.767,-8.868,-6.819,0.215,0.110,1.064,1.407,-1.865,0.754,27162633.959,1584,0,0,0.199
refined,19,-1.507,-7.473,-5.822,-0.026,0.454,0.784,1.223,-1.450,0.830,27670996.289,1584,0,0,0.202
refined,20,-1.760,-8.841,-6.789,0.208,0.094,1.076,1.385,-1.868,0.730,27199014.270,1584,0,0,0.199
