stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.947,"[-1.906, 0.012]",0.959,-1.677,0.104
norefined,c,-6.597,"[-12.181, -1.013]",5.584,-2.007,0.054
norefined,s,-3.001,"[-5.618, -0.384]",2.617,-1.949,0.061
norefined,k0,0.007,"[-0.99, 1.004]",0.997,0.012,0.990
norefined,k1,-0.593,"[-2.266, 1.08]",1.673,-0.603,0.552
norefined,k2,-1.477,"[-2.946, -0.008]",1.469,-1.708,0.098
norefined,k3,0.683,"[-0.448, 1.814]",1.131,1.026,0.313
norefined,k4,0.757,"[-0.479, 1.992]",1.235,1.041,0.307
norefined,k5,1.097,"[-0.263, 2.457]",1.360,1.371,0.181
refined,tt,-1.752,"[-2.631, -0.872]",0.880,-3.383,0.002
refined,c,-8.785,"[-13.21, -4.36]",4.425,-3.373,0.002
refined,s,-6.766,"[-10.231, -3.302]",3.464,-3.319,0.002
refined,k0,0.210,"[-0.745, 1.164]",0.954,0.373,0.712
refined,k1,0.126,"[-1.258, 1.51]",1.384,0.154,0.878
refined,k2,1.036,"[0.184, 1.888]",0.852,2.067,0.048
refined,k3,1.420,"[0.098, 2.742]",1.322,1.825,0.078
refined,k4,-1.831,"[-3.071, -0.591]",1.240,-2.509,0.018
refined,k5,0.788,"[-0.542, 2.118]",1.330,1.007,0.322
