stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,25.045,2.347,0.000,0,9,598461247.565,25423027.459,19
refined,52.986,2.347,0.000,0,9,598461247.565,12291799.248,19
