stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,0.494,-4.701,-4.404,-0.989,-0.624,-0.169,-1.354,0.003,-1.445,1429441311.519,-0.105
norefined,2,0.034,-4.796,-4.299,-0.940,-0.633,-0.190,-1.328,-0.068,-1.546,1123016952.427,-0.007
norefined,3,-0.442,-4.857,-4.202,-0.896,-0.584,-0.194,-1.283,-0.070,-1.607,768879912.964,0.091
norefined,4,-0.906,-4.913,-4.091,-0.835,-0.505,-0.186,-1.201,-0.029,-1.637,514631372.545,0.184
norefined,5,-1.345,-4.983,-3.921,-0.769,-0.439,-0.153,-1.090,0.009,-1.638,325591820.681,0.270
norefined,6,-1.705,-5.099,-3.642,-0.744,-0.377,-0.104,-0.947,0.048,-1.634,280433821.159,0.334
norefined,7,-1.266,-5.231,-3.586,-0.773,-0.333,-0.038,-0.827,0.120,-1.731,243291286.435,0.242
norefined,8,-1.669,-5.296,-3.370,-0.736,-0.264,0.014,-0.680,0.167,-1.669,230576298.636,0.315
norefined,9,-1.197,-5.386,-3.395,-0.756,-0.234,0.073,-0.585,0.221,-1.717,199515724.527,0.222
norefined,10,-1.620,-5.429,-3.212,-0.708,-0.170,0.111,-0.450,0.255,-1.622,203466700.223,0.298
refined,11,-1.197,-5.386,-3.395,-0.756,-0.234,0.073,-0.585,0.221,-1.717,199515724.527,0.222
refined,12,-0.501,-4.278,-1.687,0.817,-0.083,0.102,0.642,0.110,0.479,279667381.325,0.117
refined,13,-0.722,-5.115,-2.266,0.615,-0.157,0.147,0.543,0.091,0.152,95526062.321,0.141
refined,14,-0.974,-6.183,-2.939,0.407,-0.168,0.259,0.553,-0.017,0.006,72443887.076,0.158
refined,15,-0.975,-5.906,-2.885,0.248,-0.151,0.285,0.465,-0.027,-0.097,71247424.432,0.165
refined,16,-0.957,-5.804,-2.833,0.258,-0.153,0.275,0.464,-0.024,-0.093,71236437.955,0.165
refined,17,-0.967,-5.855,-2.861,0.253,-0.150,0.279,0.466,-0.028,-0.097,71233550.722,0.165
refined,18,-0.961,-5.824,-2.844,0.255,-0.151,0.277,0.465,-0.026,-0.096,71232675.395,0.165
refined,19,-0.964,-5.842,-2.854,0.254,-0.150,0.278,0.466,-0.027,-0.097,71232369.474,0.165
refined,20,-0.962,-5.831,-2.848,0.255,-0.151,0.278,0.465,-0.026,-0.096,71232270.250,0.165
