stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,95.387,2.023,0.000,76,0,9,2755936917.803,199515724.526
refined,280.577,2.023,0.000,76,0,9,2755936917.803,71232270.249
