stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,28.918,1.857,0.000,0,9,1981314022.903,198637005.509,38
refined,118.789,1.857,0.000,0,9,1981314022.903,52325021.353,38
