attr,theta,width_confint,width_CI,t-test,pvalue,time,method,rep,objective,nrmse,theta_true,bias,fn,fp,f_type
tt,-0.568,"[-0.977, -0.16]",0.408,-2.321,0.023,10.053,ngd,78,426839518.904,0.215,-1.000,0.432,0,0,fn
c,-4.945,"[-8.102, -1.788]",3.157,-2.613,0.011,10.053,ngd,78,426839518.904,0.215,-6.000,1.055,0,0,fn
s,-2.524,"[-4.156, -0.892]",1.632,-2.580,0.012,10.053,ngd,78,426839518.904,0.215,-3.000,0.476,0,0,fn
k0,-1.424,"[-2.951, 0.102]",1.527,-1.556,0.124,10.053,ngd,78,426839518.904,0.215,0.000,-1.424,0,0,fp
k1,0.802,"[-0.047, 1.651]",0.849,1.576,0.120,10.053,ngd,78,426839518.904,0.215,0.000,0.802,0,0,fp
k2,-0.212,"[-0.978, 0.555]",0.767,-0.461,0.646,10.053,ngd,78,426839518.904,0.215,0.000,-0.212,0,0,fp
k3,0.673,"[-0.655, 2.0]",1.328,0.845,0.401,10.053,ngd,78,426839518.904,0.215,0.000,0.673,0,0,fp
k4,-0.989,"[-2.293, 0.315]",1.304,-1.265,0.210,10.053,ngd,78,426839518.904,0.215,0.000,-0.989,0,0,fp
k5,0.517,"[-0.471, 1.505]",0.988,0.872,0.386,10.053,ngd,78,426839518.904,0.215,0.000,0.517,0,0,fp
vot,0.115,,,,,10.053,ngd,78,426839518.904,0.215,0.167,-0.052,0,0,fn
tt,0.997,"[-0.988, 2.983]",1.985,0.838,0.405,10.489,lm,78,6323018295.435,0.826,-1.000,1.997,1,0,fn
c,-4.876,"[-13.672, 3.919]",8.795,-0.925,0.358,10.489,lm,78,6323018295.435,0.826,-6.000,1.124,1,0,fn
s,-1.716,"[-5.331, 1.898]",3.614,-0.792,0.431,10.489,lm,78,6323018295.435,0.826,-3.000,1.284,1,0,fn
k0,-1.545,"[-6.554, 3.465]",5.009,-0.514,0.609,10.489,lm,78,6323018295.435,0.826,0.000,-1.545,0,0,fp
k1,1.213,"[-2.612, 5.038]",3.825,0.529,0.599,10.489,lm,78,6323018295.435,0.826,0.000,1.213,0,0,fp
k2,-0.142,"[-2.874, 2.591]",2.733,-0.086,0.931,10.489,lm,78,6323018295.435,0.826,0.000,-0.142,0,0,fp
k3,1.347,"[-2.68, 5.374]",4.027,0.558,0.579,10.489,lm,78,6323018295.435,0.826,0.000,1.347,0,0,fp
k4,-0.795,"[-6.116, 4.525]",5.321,-0.249,0.804,10.489,lm,78,6323018295.435,0.826,0.000,-0.795,0,0,fp
k5,0.620,"[-3.579, 4.819]",4.199,0.246,0.806,10.489,lm,78,6323018295.435,0.826,0.000,0.620,0,0,fp
vot,-0.205,,,,,10.489,lm,78,6323018295.435,0.826,0.167,-0.371,0,0,fn
tt,-1.130,"[-1.531, -0.729]",0.401,-4.704,0.000,20.744,ngd+lm,78,155211533.721,0.129,-1.000,-0.130,0,0,fn
c,-6.432,"[-8.616, -4.249]",2.183,-4.914,0.000,20.744,ngd+lm,78,155211533.721,0.129,-6.000,-0.432,0,0,fn
s,-3.331,"[-4.555, -2.107]",1.224,-4.540,0.000,20.744,ngd+lm,78,155211533.721,0.129,-3.000,-0.331,0,0,fn
k0,-0.162,"[-0.782, 0.458]",0.620,-0.436,0.664,20.744,ngd+lm,78,155211533.721,0.129,0.000,-0.162,0,0,fp
k1,0.313,"[-0.227, 0.853]",0.540,0.967,0.337,20.744,ngd+lm,78,155211533.721,0.129,0.000,0.313,0,0,fp
k2,0.305,"[-0.14, 0.75]",0.445,1.143,0.257,20.744,ngd+lm,78,155211533.721,0.129,0.000,0.305,0,0,fp
k3,0.111,"[-0.655, 0.877]",0.766,0.242,0.810,20.744,ngd+lm,78,155211533.721,0.129,0.000,0.111,0,0,fp
k4,-0.187,"[-0.911, 0.537]",0.724,-0.430,0.668,20.744,ngd+lm,78,155211533.721,0.129,0.000,-0.187,0,0,fp
k5,0.261,"[-0.382, 0.905]",0.643,0.678,0.500,20.744,ngd+lm,78,155211533.721,0.129,0.000,0.261,0,0,fp
vot,0.176,,,,,20.744,ngd+lm,78,155211533.721,0.129,0.167,0.009,0,0,fn
