stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,51.581,1.727,0.000,0,9,3272660223.409,412758141.085,76
refined,92.476,1.727,0.000,0,9,3272660223.409,243824613.303,76
