stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.898,"[-1.88, 0.085]",0.983,-1.552,0.132
norefined,c,-5.665,"[-11.438, 0.108]",5.773,-1.667,0.106
norefined,s,-2.383,"[-4.659, -0.106]",2.277,-1.778,0.086
norefined,k0,-1.569,"[-4.79, 1.652]",3.221,-0.828,0.415
norefined,k1,-0.860,"[-2.163, 0.444]",1.304,-1.121,0.272
norefined,k2,0.033,"[-1.797, 1.862]",1.829,0.030,0.976
norefined,k3,-1.163,"[-2.71, 0.383]",1.547,-1.278,0.211
norefined,k4,-0.242,"[-1.93, 1.445]",1.687,-0.244,0.809
norefined,k5,-0.972,"[-3.15, 1.207]",2.179,-0.758,0.455
refined,tt,-0.898,"[-1.88, 0.085]",0.983,-1.552,0.132
refined,c,-5.665,"[-11.438, 0.108]",5.773,-1.667,0.106
refined,s,-2.383,"[-4.659, -0.106]",2.277,-1.778,0.086
refined,k0,-1.569,"[-4.79, 1.652]",3.221,-0.828,0.415
refined,k1,-0.860,"[-2.163, 0.444]",1.304,-1.121,0.272
refined,k2,0.033,"[-1.797, 1.862]",1.829,0.030,0.976
refined,k3,-1.163,"[-2.71, 0.383]",1.547,-1.278,0.211
refined,k4,-0.242,"[-1.93, 1.445]",1.687,-0.244,0.809
refined,k5,-0.972,"[-3.15, 1.207]",2.179,-0.758,0.455
