stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.664,"[-1.217, -0.112]",0.553,-2.399,0.019
norefined,c,-5.676,"[-10.045, -1.308]",4.369,-2.593,0.012
norefined,s,-2.530,"[-4.167, -0.893]",1.637,-3.084,0.003
norefined,k0,0.310,"[-0.626, 1.247]",0.936,0.661,0.511
norefined,k1,1.229,"[-0.049, 2.506]",1.278,1.920,0.059
norefined,k2,0.393,"[-0.71, 1.496]",1.103,0.711,0.480
norefined,k3,-0.931,"[-1.805, -0.056]",0.875,-2.125,0.037
norefined,k4,0.990,"[0.126, 1.854]",0.864,2.286,0.025
norefined,k5,-0.890,"[-2.36, 0.58]",1.470,-1.208,0.231
refined,tt,-1.013,"[-1.575, -0.45]",0.562,-3.594,0.001
refined,c,-5.898,"[-9.009, -2.788]",3.111,-3.785,0.000
refined,s,-3.137,"[-4.823, -1.451]",1.686,-3.714,0.000
refined,k0,-0.231,"[-0.929, 0.467]",0.698,-0.659,0.512
refined,k1,-0.151,"[-0.872, 0.569]",0.720,-0.420,0.676
refined,k2,0.387,"[-0.314, 1.089]",0.702,1.102,0.275
refined,k3,0.540,"[-0.252, 1.332]",0.792,1.360,0.178
refined,k4,0.201,"[-0.351, 0.753]",0.552,0.726,0.470
refined,k5,-0.188,"[-0.848, 0.472]",0.660,-0.567,0.572
