stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,62.365,2.023,0.000,76,0,9,2808066230.967,299449290.528
refined,172.404,2.023,0.000,76,0,9,2808066230.967,116234056.014
