stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,0.087,-5.127,-2.636,0.895,1.822,0.603,-0.937,1.688,-0.964,3201475714.580,-0.017
norefined,2,-0.387,-5.182,-2.634,0.820,1.758,0.533,-0.971,1.610,-0.993,1085171615.861,0.075
norefined,3,-0.866,-5.219,-2.597,0.761,1.697,0.479,-1.002,1.526,-0.991,446669507.830,0.166
norefined,4,-1.263,-5.273,-2.537,0.603,1.583,0.419,-1.064,1.331,-1.036,405703355.405,0.239
norefined,5,-0.810,-5.355,-2.665,0.552,1.481,0.383,-1.105,1.255,-1.045,357456860.092,0.151
norefined,6,-1.276,-5.373,-2.552,0.471,1.432,0.353,-1.108,1.154,-1.049,360866502.413,0.237
norefined,7,-0.805,-5.444,-2.670,0.448,1.353,0.332,-1.131,1.110,-1.045,320693819.866,0.148
norefined,8,-1.279,-5.453,-2.553,0.386,1.315,0.310,-1.118,1.035,-1.035,337293750.642,0.235
norefined,9,-0.804,-5.518,-2.668,0.373,1.248,0.296,-1.136,1.006,-1.024,299449290.528,0.146
norefined,10,-1.282,-5.521,-2.552,0.325,1.215,0.278,-1.113,0.948,-1.005,322025450.627,0.232
refined,11,-0.804,-5.518,-2.668,0.373,1.248,0.296,-1.136,1.006,-1.024,299449290.528,0.146
refined,12,-0.614,-2.642,-1.562,-0.286,-0.593,-0.176,-0.009,0.103,0.474,223629326.135,0.233
refined,13,-0.748,-3.836,-2.266,-0.372,-0.332,-0.316,-0.169,0.302,0.265,124361542.525,0.195
refined,14,-0.950,-5.021,-2.897,-0.464,-0.319,-0.400,0.014,0.284,0.152,117756850.808,0.189
refined,15,-1.091,-5.793,-3.322,-0.494,-0.348,-0.458,0.146,0.226,0.168,116568639.099,0.188
refined,16,-1.149,-6.102,-3.490,-0.501,-0.375,-0.442,0.193,0.195,0.191,116342576.102,0.188
refined,17,-1.182,-6.272,-3.584,-0.505,-0.401,-0.426,0.212,0.185,0.206,116275479.183,0.188
refined,18,-1.201,-6.372,-3.638,-0.507,-0.417,-0.412,0.222,0.181,0.214,116249649.156,0.189
refined,19,-1.215,-6.440,-3.675,-0.509,-0.429,-0.403,0.228,0.179,0.220,116238810.870,0.189
refined,20,-1.223,-6.485,-3.699,-0.511,-0.437,-0.397,0.232,0.177,0.224,116234056.013,0.189
