stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.402,"[-2.203, -0.602]",0.801,-3.496,0.001
norefined,c,-7.124,"[-11.205, -3.043]",4.081,-3.484,0.001
norefined,s,-3.376,"[-5.29, -1.462]",1.914,-3.520,0.001
norefined,k0,-0.460,"[-1.395, 0.475]",0.935,-0.981,0.330
norefined,k1,-0.522,"[-1.233, 0.189]",0.711,-1.464,0.148
norefined,k2,0.255,"[-0.336, 0.845]",0.590,0.862,0.392
norefined,k3,0.395,"[-0.601, 1.391]",0.996,0.792,0.431
norefined,k4,-0.317,"[-1.482, 0.849]",1.166,-0.542,0.589
norefined,k5,0.459,"[-0.353, 1.271]",0.812,1.129,0.263
refined,tt,-1.176,"[-1.78, -0.572]",0.604,-3.888,0.000
refined,c,-7.227,"[-11.008, -3.446]",3.781,-3.815,0.000
refined,s,-3.294,"[-4.911, -1.677]",1.617,-4.066,0.000
refined,k0,-0.030,"[-0.726, 0.667]",0.697,-0.085,0.933
refined,k1,-0.160,"[-0.699, 0.379]",0.539,-0.592,0.556
refined,k2,0.066,"[-0.418, 0.55]",0.484,0.272,0.786
refined,k3,-0.088,"[-0.857, 0.682]",0.769,-0.227,0.821
refined,k4,-0.199,"[-1.063, 0.666]",0.864,-0.459,0.648
refined,k5,-0.179,"[-0.616, 0.259]",0.437,-0.816,0.418
