stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,116.300,2.023,0.000,76,0,9,2917905482.047,175541311.734
refined,192.164,2.023,0.000,76,0,9,2917905482.047,108823857.732
