stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.254,"[-1.78, -0.729]",0.526,-3.980,0.000
norefined,c,-6.468,"[-9.272, -3.663]",2.805,-3.847,0.000
norefined,s,-3.221,"[-4.617, -1.824]",1.397,-3.847,0.000
norefined,k0,0.391,"[-0.293, 1.076]",0.685,0.953,0.344
norefined,k1,0.164,"[-0.517, 0.846]",0.682,0.402,0.689
norefined,k2,-0.175,"[-0.806, 0.456]",0.631,-0.462,0.645
norefined,k3,-0.245,"[-1.262, 0.772]",1.017,-0.402,0.689
norefined,k4,0.451,"[-0.225, 1.127]",0.676,1.112,0.270
norefined,k5,-0.443,"[-1.3, 0.414]",0.857,-0.863,0.391
refined,tt,-3.896,"[-6.75, -1.041]",2.854,-2.276,0.026
refined,c,-22.497,"[-38.447, -6.547]",15.950,-2.353,0.022
refined,s,-11.243,"[-19.434, -3.053]",8.190,-2.290,0.025
refined,k0,-0.102,"[-1.4, 1.197]",1.298,-0.131,0.896
refined,k1,0.158,"[-1.064, 1.379]",1.221,0.216,0.830
refined,k2,-1.769,"[-3.669, 0.131]",1.900,-1.553,0.125
refined,k3,1.977,"[-0.184, 4.138]",2.161,1.526,0.132
refined,k4,0.528,"[-1.121, 2.176]",1.649,0.534,0.595
refined,k5,-3.644,"[-7.641, 0.353]",3.997,-1.521,0.133
