stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.459,"[-2.506, -0.412]",1.047,-2.782,0.007
norefined,c,-5.239,"[-9.064, -1.413]",3.826,-2.733,0.008
norefined,s,-3.320,"[-5.912, -0.728]",2.592,-2.557,0.013
norefined,k0,-1.338,"[-2.85, 0.174]",1.512,-1.766,0.082
norefined,k1,-0.937,"[-2.429, 0.555]",1.492,-1.254,0.214
norefined,k2,-0.636,"[-1.578, 0.305]",0.942,-1.349,0.182
norefined,k3,-0.757,"[-2.428, 0.914]",1.671,-0.904,0.369
norefined,k4,-0.989,"[-2.767, 0.788]",1.777,-1.111,0.271
norefined,k5,-0.361,"[-1.554, 0.832]",1.193,-0.605,0.547
refined,tt,-0.890,"[-1.179, -0.6]",0.290,-6.131,0.000
refined,c,-5.894,"[-8.231, -3.557]",2.337,-5.033,0.000
refined,s,-2.690,"[-3.601, -1.779]",0.911,-5.895,0.000
refined,k0,0.157,"[-0.409, 0.722]",0.566,0.554,0.582
refined,k1,0.301,"[-0.064, 0.665]",0.364,1.646,0.104
refined,k2,-0.140,"[-0.547, 0.267]",0.407,-0.688,0.494
refined,k3,0.354,"[-0.241, 0.948]",0.594,1.188,0.239
refined,k4,0.194,"[-0.199, 0.587]",0.393,0.985,0.328
refined,k5,0.255,"[-0.195, 0.706]",0.450,1.132,0.262
