stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.787,"[-2.291, 0.717]",1.504,-0.872,0.386
norefined,c,-5.333,"[-14.869, 4.202]",9.535,-0.933,0.354
norefined,s,-2.924,"[-7.641, 1.793]",4.717,-1.034,0.305
norefined,k0,-2.023,"[-6.347, 2.301]",4.324,-0.780,0.438
norefined,k1,0.695,"[-1.81, 3.201]",2.505,0.463,0.645
norefined,k2,0.129,"[-1.635, 1.894]",1.764,0.122,0.903
norefined,k3,0.785,"[-1.141, 2.711]",1.926,0.680,0.499
norefined,k4,0.880,"[-2.881, 4.642]",3.761,0.390,0.698
norefined,k5,-0.375,"[-4.128, 3.377]",3.753,-0.167,0.868
refined,tt,-8.548,"[-46.618, 29.523]",38.071,-0.374,0.709
refined,c,-47.388,"[-243.434, 148.657]",196.045,-0.403,0.688
refined,s,-32.352,"[-166.295, 101.59]",133.943,-0.403,0.688
refined,k0,-14.721,"[-75.941, 46.499]",61.220,-0.401,0.690
refined,k1,-7.746,"[-39.654, 24.163]",31.909,-0.405,0.687
refined,k2,-1.266,"[-22.846, 20.315]",21.580,-0.098,0.922
refined,k3,2.603,"[-6.272, 11.478]",8.875,0.489,0.626
refined,k4,9.266,"[-36.032, 54.564]",45.298,0.341,0.734
refined,k5,11.151,"[-29.732, 52.035]",40.883,0.455,0.651
