stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.391,"[-3.058, 0.276]",1.667,-1.512,0.161
norefined,c,-6.193,"[-17.306, 4.921]",11.113,-1.010,0.336
norefined,s,-3.448,"[-8.924, 2.028]",5.476,-1.141,0.280
norefined,k0,0.398,"[-1.503, 2.299]",1.901,0.380,0.712
norefined,k1,-1.042,"[-4.284, 2.201]",3.243,-0.582,0.573
norefined,k2,-0.960,"[-3.015, 1.095]",2.055,-0.847,0.417
norefined,k3,0.357,"[-0.912, 1.626]",1.269,0.510,0.621
norefined,k4,-0.079,"[-1.467, 1.309]",1.388,-0.103,0.920
norefined,k5,0.417,"[-1.572, 2.406]",1.989,0.380,0.712
refined,tt,-1.876,"[-3.327, -0.426]",1.450,-2.344,0.041
refined,c,-11.035,"[-23.404, 1.334]",12.369,-1.617,0.137
refined,s,-6.177,"[-12.462, 0.109]",6.285,-1.781,0.105
refined,k0,0.470,"[-1.428, 2.368]",1.898,0.449,0.663
refined,k1,1.142,"[-0.61, 2.894]",1.752,1.181,0.265
refined,k2,0.202,"[-0.814, 1.219]",1.016,0.361,0.726
refined,k3,0.115,"[-0.613, 0.842]",0.728,0.285,0.781
refined,k4,0.360,"[-0.545, 1.265]",0.905,0.721,0.487
refined,k5,-0.334,"[-1.473, 0.805]",1.139,-0.531,0.607
