stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.608,"[-1.192, -0.024]",0.584,-1.770,0.087
norefined,c,-6.419,"[-11.059, -1.78]",4.639,-2.351,0.026
norefined,s,-2.689,"[-4.728, -0.651]",2.038,-2.242,0.033
norefined,k0,-0.658,"[-2.093, 0.777]",1.435,-0.779,0.442
norefined,k1,-0.007,"[-1.531, 1.517]",1.524,-0.008,0.994
norefined,k2,-1.152,"[-2.562, 0.259]",1.411,-1.387,0.176
norefined,k3,-1.013,"[-2.472, 0.445]",1.458,-1.180,0.247
norefined,k4,-0.307,"[-1.51, 0.897]",1.203,-0.433,0.668
norefined,k5,-1.313,"[-2.783, 0.157]",1.470,-1.517,0.140
refined,tt,-0.822,"[-1.053, -0.591]",0.231,-6.049,0.000
refined,c,-4.832,"[-6.205, -3.459]",1.373,-5.979,0.000
refined,s,-2.582,"[-3.235, -1.928]",0.653,-6.713,0.000
refined,k0,0.306,"[-0.037, 0.649]",0.343,1.514,0.141
refined,k1,-0.027,"[-0.434, 0.379]",0.407,-0.115,0.909
refined,k2,-0.018,"[-0.33, 0.295]",0.313,-0.096,0.924
refined,k3,0.147,"[-0.105, 0.4]",0.252,0.994,0.329
refined,k4,-0.022,"[-0.267, 0.224]",0.245,-0.150,0.882
refined,k5,0.480,"[0.194, 0.766]",0.286,2.853,0.008
