key,speed_avg,speed_ref_sd,tt_sd_adj,speed_hist_avg,speed_sd,road_closures,tt_avg,median_inc,bus_stops,intersections,speed_cv,incidents,tt_cv,tt_sd,median_age,speed_hist_sd,tt_var,speed_ref_avg,tf
"(835, 1245, '0')",35.000,0.000,0,35.000,0.000,0.000,0.225,36.974,0,0,0.000,0,0.000,0.000,29.000,0.000,0.000,35.000,0.225
"(1241, 1245, '0')",35.000,0.000,0,35.000,0.000,0.000,0.366,36.974,0,1,0.000,0,0.000,0.000,29.000,0.000,0.000,35.000,0.366
"(566, 1245, '0')",99999.000,0.000,0,99999.000,0.000,0.000,0.000,36.974,0,1,0.000,0,0.000,0.000,29.000,0.000,0.000,99999.000,0.000
"(835, 808, '0')",35.000,0.000,0,35.000,0.000,0.000,0.120,36.974,0,1,0.000,0,0.000,0.000,29.000,0.000,0.000,35.000,0.120
"(810, 808, '0')",28.026,0.000,0,24.428,6.144,0.000,1.113,36.974,1,3,0.219,1,0.223,0.249,29.000,5.111,0.062,26.719,0.123
"(811, 808, '0')",28.751,0.000,0,22.835,5.374,0.000,1.071,36.974,0,3,0.187,1,0.190,0.203,29.000,4.232,0.041,26.719,0.188
"(838, 808, '0')",35.000,0.000,0,35.000,0.000,0.000,0.142,34.923,0,1,0.000,0,0.000,0.000,66.000,0.000,0.000,35.000,0.142
"(1473, 92, '0')",64.357,0.000,0,61.237,5.479,0.000,0.564,41.694,0,1,0.085,12,0.097,0.055,33.600,3.438,0.003,64.001,0.122
"(1093, 92, '0')",64.409,0.000,0,59.483,8.728,0.000,0.565,45.536,0,1,0.136,0,0.201,0.114,33.100,7.132,0.013,64.001,0.000
"(1473, 94, '0')",64.409,0.000,0,59.483,8.728,0.000,0.565,41.694,0,1,0.136,0,0.201,0.114,33.600,7.132,0.013,64.001,0.122
"(1095, 94, '0')",64.357,0.000,0,61.237,5.479,0.000,0.564,41.694,0,1,0.085,12,0.097,0.055,33.600,3.438,0.003,64.001,0.000
"(1473, 1474, '0')",40.000,0.000,0,40.000,0.000,0.000,0.226,41.694,0,2,0.000,0,0.000,0.000,33.600,0.000,0.000,40.000,0.226
"(914, 1474, '0')",40.000,0.000,0,40.000,0.000,0.000,0.221,41.694,0,2,0.000,0,0.000,0.000,33.600,0.000,0.000,40.000,0.221
"(1473, 1475, '0')",40.000,0.000,0,40.000,0.000,0.000,0.254,41.694,0,4,0.000,2,0.000,0.000,33.600,0.000,0.000,40.000,0.254
"(915, 1475, '0')",40.000,0.000,0,40.000,0.000,0.000,0.256,41.694,0,4,0.000,2,0.000,0.000,33.600,0.000,0.000,40.000,0.256
"(92, 1473, '0')",64.409,0.000,0,59.483,8.728,0.000,0.565,41.694,0,1,0.136,0,0.201,0.114,33.600,7.132,0.013,64.001,0.122
"(94, 1473, '0')",64.357,0.000,0,61.237,5.479,0.000,0.564,41.694,0,1,0.085,12,0.097,0.055,33.600,3.438,0.003,64.001,0.122
"(1474, 1473, '0')",40.000,0.000,0,40.000,0.000,0.000,0.226,41.694,0,2,0.000,0,0.000,0.000,33.600,0.000,0.000,40.000,0.226
"(1475, 1473, '0')",40.000,0.000,0,40.000,0.000,0.000,0.254,41.694,0,4,0.000,2,0.000,0.000,33.600,0.000,0.000,40.000,0.254
"(92, 1610, '0')",64.357,0.000,0,61.237,5.479,0.000,0.564,45.536,0,1,0.085,12,0.097,0.055,33.100,3.438,0.003,64.001,0.000
"(94, 1611, '0')",99999.000,0.000,0,99999.000,0.000,0.000,0.000,41.694,0,0,0.000,0,0.000,0.000,33.600,0.000,0.000,99999.000,0.000
"(115, 45, '0')",65.335,0.000,0,58.603,5.773,0.000,0.203,36.974,0,1,0.088,8,0.122,0.025,29.000,7.263,0.001,62.758,0.077
"(131, 45, '0')",65.335,0.000,0,58.603,5.773,0.000,0.203,24.821,0,1,0.088,8,0.122,0.025,46.000,7.263,0.001,62.758,0.442
"(1353, 112, '0')",30.000,0.000,0,30.000,0.000,0.000,0.122,41.694,0,0,0.000,0,0.000,0.000,33.600,0.000,0.000,30.000,0.122
"(625, 112, '0')",99999.000,0.000,0,99999.000,0.000,0.000,0.000,41.563,0,0,0.000,0,0.000,0.000,30.700,0.000,0.000,99999.000,0.000
"(1353, 113, '0')",30.771,0.000,0,24.874,4.393,0.000,0.295,41.694,1,5,0.143,0,0.168,0.050,33.600,5.010,0.002,26.098,0.122
"(627, 113, '0')",99999.000,0.000,0,99999.000,0.000,0.000,0.000,41.694,0,0,0.000,0,0.000,0.000,33.600,0.000,0.000,99999.000,0.000
"(1353, 1352, '0')",30.771,0.000,0,24.874,4.393,0.000,0.295,41.694,1,5,0.143,0,0.168,0.050,33.600,5.010,0.002,26.098,0.082
"(1358, 1352, '0')",28.958,0.000,0,21.398,5.080,0.000,0.321,41.694,1,6,0.175,0,0.180,0.058,33.600,3.402,0.003,22.991,0.266
"(1353, 1351, '0')",28.946,0.000,0,21.398,5.574,0.000,0.318,41.694,1,5,0.193,0,0.221,0.070,33.600,3.402,0.005,22.991,0.091
"(1354, 1351, '0')",30.771,0.000,0,24.874,4.393,0.000,0.295,41.694,1,5,0.143,0,0.168,0.050,33.600,5.010,0.002,26.098,0.246
"(112, 1353, '0')",30.000,0.000,0,30.000,0.000,0.000,0.122,41.694,0,0,0.000,0,0.000,0.000,33.600,0.000,0.000,30.000,0.122
"(113, 1353, '0')",28.946,0.000,0,21.398,5.574,0.000,0.318,41.694,1,5,0.193,0,0.221,0.070,33.600,3.402,0.005,22.991,0.122
"(1351, 1353, '0')",30.771,0.000,0,24.874,4.393,0.000,0.295,41.694,1,5,0.143,0,0.168,0.050,33.600,5.010,0.002,26.098,0.091
"(1352, 1353, '0')",28.946,0.000,0,21.398,5.574,0.000,0.318,41.694,1,5,0.193,0,0.221,0.070,33.600,3.402,0.005,22.991,0.082
"(112, 1528, '0')",99999.000,0.000,0,99999.000,0.000,0.000,0.000,41.563,0,0,0.000,0,0.000,0.000,30.700,0.000,0.000,99999.000,0.000
"(118, 560, '0')",25.000,0.000,0,25.000,0.000,0.000,0.162,24.821,0,1,0.000,0,0.000,0.000,46.000,0.000,0.000,25.000,0.162
"(118, 110, '0')",24.518,0.000,0,26.971,10.358,0.000,0.104,24.821,0,4,0.422,0,0.381,0.040,46.000,5.752,0.002,32.933,0.170
"(118, 124, '0')",21.580,0.000,0,27.696,8.097,0.000,0.394,24.821,0,3,0.375,0,0.340,0.134,46.000,3.956,0.018,31.690,0.121
"(128, 124, '0')",30.557,0.000,0,28.033,7.883,0.000,1.037,24.821,1,4,0.258,0,0.349,0.362,46.000,5.595,0.131,32.933,0.147
"(113, 1527, '0')",99999.000,0.000,0,99999.000,0.000,0.000,0.000,41.694,0,0,0.000,0,0.000,0.000,33.600,0.000,0.000,99999.000,0.000
"(1538, 1713, '0')",99999.000,0.000,0,99999.000,0.000,0.000,0.000,15.738,0,0,0.000,0,0.000,0.000,46.800,0.000,0.000,99999.000,0.000
"(1430, 114, '0')",26.771,0.000,0,23.476,5.357,0.000,0.298,24.432,0,8,0.200,0,0.283,0.084,39.300,3.741,0.007,24.855,0.122
"(730, 114, '0')",99999.000,0.000,0,99999.000,0.000,0.000,0.000,24.432,0,0,0.000,0,0.000,0.000,39.300,0.000,0.000,99999.000,0.000
"(1430, 120, '0')",59.658,0.000,0,58.836,3.143,0.000,0.461,14.243,0,1,0.053,0,0.051,0.023,24.900,2.517,0.001,59.030,0.122
"(731, 120, '0')",99999.000,0.000,0,99999.000,0.000,0.000,0.000,14.243,0,0,0.000,0,0.000,0.000,24.900,0.000,0.000,99999.000,0.000
"(1430, 1107, '0')",25.742,0.000,0,22.507,5.681,0.000,0.618,24.432,2,5,0.221,0,0.329,0.203,39.300,2.789,0.041,24.855,0.301
"(1105, 1107, '0')",26.382,0.000,0,23.476,5.718,0.000,0.602,24.432,2,5,0.217,0,0.319,0.192,39.300,3.741,0.037,24.855,0.220
"(1430, 1108, '0')",22.881,0.000,0,23.476,6.864,0.000,0.352,14.243,1,2,0.300,0,0.435,0.153,24.900,3.741,0.023,24.855,0.522
"(1177, 1108, '0')",23.418,0.000,0,22.507,6.012,0.000,0.324,14.243,1,2,0.257,0,0.280,0.091,24.900,2.789,0.008,24.855,0.079
"(1416, 116, '0')",8.913,0.000,0,9.088,2.691,0.000,0.622,37.414,0,2,0.302,0,0.300,0.187,23.400,3.933,0.035,8.699,0.122
"(674, 116, '0')",99999.000,0.000,0,99999.000,0.000,0.000,0.000,37.414,0,0,0.000,0,0.000,0.000,23.400,0.000,0.000,99999.000,0.000
"(1416, 117, '0')",29.768,0.000,0,27.903,4.250,0.000,0.117,37.414,0,2,0.143,0,0.177,0.021,23.400,3.193,0.000,29.204,0.014
"(661, 117, '0')",9.476,0.000,0,9.088,3.209,0.000,0.629,37.414,0,2,0.339,0,0.313,0.197,23.400,3.933,0.039,8.699,0.000
"(1416, 1057, '0')",29.768,0.000,0,27.903,4.250,0.000,0.117,37.414,0,2,0.143,0,0.177,0.021,23.400,3.193,0.000,29.204,0.108
"(1416, 1064, '0')",29.250,0.000,0,21.081,6.736,0.000,0.106,37.414,0,2,0.230,0,0.285,0.030,23.400,2.479,0.001,26.098,0.086
"(1077, 1064, '0')",25.929,0.000,0,26.039,4.795,0.000,0.285,36.042,1,4,0.185,0,0.253,0.072,24.600,2.453,0.005,27.340,0.167
"(116, 1416, '0')",29.768,0.000,0,27.903,4.250,0.000,0.117,37.414,0,2,0.143,0,0.177,0.021,23.400,3.193,0.000,29.204,0.122
"(117, 1416, '0')",9.029,0.000,0,9.088,2.665,0.000,0.085,37.414,0,1,0.295,0,0.295,0.025,23.400,3.933,0.001,8.699,0.122
"(1058, 1416, '0')",29.250,0.000,0,21.081,6.736,0.000,0.106,37.414,0,2,0.230,0,0.285,0.030,23.400,2.479,0.001,26.098,0.074
"(1077, 1416, '0')",29.768,0.000,0,27.903,4.250,0.000,0.117,37.414,0,2,0.143,0,0.177,0.021,23.400,3.193,0.000,29.204,0.102
"(116, 1563, '0')",8.913,0.000,0,9.088,2.691,0.000,0.622,37.414,0,2,0.302,0,0.300,0.187,23.400,3.933,0.035,8.699,0.000
"(117, 1562, '0')",99999.000,0.000,0,99999.000,0.000,0.000,0.000,37.414,0,0,0.000,0,0.000,0.000,23.400,0.000,0.000,99999.000,0.000
"(124, 128, '0')",33.250,0.000,0,27.696,5.217,0.000,0.894,24.821,1,4,0.157,0,0.152,0.136,46.000,3.956,0.018,31.690,0.147
"(159, 128, '0')",30.557,0.000,0,28.033,7.883,0.000,1.037,56.987,1,4,0.258,0,0.349,0.362,30.500,5.595,0.131,32.933,0.190
"(804, 128, '0')",19.593,0.000,0,23.437,7.547,0.000,0.396,56.987,0,2,0.385,0,0.400,0.158,30.500,5.281,0.025,26.719,0.156
"(826, 128, '0')",19.347,0.000,0,22.272,5.624,0.000,0.354,56.987,0,2,0.291,0,0.332,0.117,30.500,3.561,0.014,26.098,0.194
"(114, 1430, '0')",59.658,0.000,0,58.836,3.143,0.000,0.461,24.432,0,1,0.053,0,0.051,0.023,39.300,2.517,0.001,59.030,0.122
"(120, 1430, '0')",26.771,0.000,0,23.476,5.357,0.000,0.298,14.243,0,8,0.200,0,0.283,0.084,24.900,3.741,0.007,24.855,0.122
"(1107, 1430, '0')",26.382,0.000,0,23.476,5.718,0.000,0.602,24.432,2,5,0.217,0,0.319,0.192,39.300,3.741,0.037,24.855,0.301
"(1108, 1430, '0')",23.418,0.000,0,22.507,6.012,0.000,0.324,14.243,1,2,0.257,0,0.280,0.091,24.900,2.789,0.008,24.855,0.522
"(114, 1571, '0')",61.645,0.000,0,61.451,4.268,0.000,0.635,24.432,1,6,0.069,2,0.099,0.063,39.300,2.391,0.004,62.137,0.000
"(120, 1572, '0')",59.658,0.000,0,58.836,3.143,0.000,0.461,14.243,0,1,0.053,0,0.051,0.023,24.900,2.517,0.001,59.030,0.000
"(1537, 1712, '0')",99999.000,0.000,0,99999.000,0.000,0.000,0.000,44.531,0,0,0.000,0,0.000,0.000,29.100,0.000,0.000,99999.000,0.000
"(128, 157, '0')",19.793,0.000,0,22.272,5.321,0.000,0.037,56.987,0,1,0.269,0,0.342,0.013,30.500,3.561,0.000,26.098,0.130
"(128, 1259, '0')",22.712,0.000,0,23.437,6.094,0.000,0.188,56.987,0,2,0.268,0,0.313,0.059,30.500,5.281,0.003,26.719,0.164
"(128, 159, '0')",33.250,0.000,0,27.696,5.217,0.000,0.894,56.987,1,4,0.157,0,0.152,0.136,30.500,3.956,0.018,31.690,0.190
"(823, 159, '0')",30.557,0.000,0,28.033,7.883,0.000,1.037,56.987,1,4,0.258,0,0.349,0.362,30.500,5.595,0.131,32.933,0.302
"(416, 121, '0')",30.000,0.000,0,30.000,0.000,0.000,0.122,50.641,0,0,0.000,0,0.000,0.000,41.800,0.000,0.000,30.000,0.122
"(1090, 121, '0')",99999.000,0.000,0,99999.000,0.000,0.000,0.000,24.471,0,0,0.000,0,0.000,0.000,28.000,0.000,0.000,99999.000,0.000
"(416, 122, '0')",65.000,0.000,0,65.000,0.000,0.000,0.009,50.641,0,0,0.000,0,0.000,0.000,41.800,0.000,0.000,65.000,0.009
"(1087, 122, '0')",99999.000,0.000,0,99999.000,0.000,0.000,0.000,13.125,0,0,0.000,0,0.000,0.000,28.800,0.000,0.000,99999.000,0.000
"(416, 1465, '0')",25.000,0.000,0,25.000,0.000,0.000,0.100,50.641,0,0,0.000,0,0.000,0.000,41.800,0.000,0.000,25.000,0.100
"(1469, 1465, '0')",13.683,0.000,0,13.938,3.813,0.000,0.305,50.641,0,5,0.279,0,0.447,0.137,41.800,1.996,0.019,16.156,0.096
"(416, 1466, '0')",25.000,0.000,0,25.000,0.000,0.000,0.160,50.641,0,0,0.000,0,0.000,0.000,41.800,0.000,0.000,25.000,0.160
"(1468, 1466, '0')",20.000,0.000,0,20.000,0.000,0.000,0.068,50.641,0,0,0.000,0,0.000,0.000,41.800,0.000,0.000,20.000,0.068
"(129, 814, '0')",37.444,0.000,0,26.971,5.153,0.000,0.801,24.821,1,4,0.138,0,0.131,0.105,46.000,5.752,0.011,32.933,0.190
"(813, 814, '0')",32.583,0.000,0,30.344,8.170,0.000,0.964,34.923,2,5,0.251,0,0.257,0.248,66.000,5.934,0.061,34.175,0.266
"(129, 1233, '0')",27.716,0.000,0,24.926,4.900,0.000,1.088,24.821,1,3,0.177,0,0.197,0.214,46.000,4.535,0.046,26.098,0.140
"(129, 817, '0')",50.000,0.000,0,50.000,0.000,0.000,0.096,24.821,0,0,0.000,0,0.000,0.000,46.000,0.000,0.000,50.000,0.096
"(158, 817, '0')",23.890,0.000,0,26.971,9.966,0.000,0.592,24.821,0,3,0.417,0,0.367,0.217,46.000,5.752,0.047,32.933,0.096
"(129, 800, '0')",17.903,0.000,0,21.373,6.563,0.000,0.058,24.821,1,1,0.367,1,0.431,0.025,46.000,4.713,0.001,26.098,0.146
"(121, 416, '0')",30.000,0.000,0,30.000,0.000,0.000,0.122,50.641,0,0,0.000,0,0.000,0.000,41.800,0.000,0.000,30.000,0.122
"(122, 416, '0')",30.000,0.000,0,30.000,0.000,0.000,0.122,50.641,0,0,0.000,0,0.000,0.000,41.800,0.000,0.000,30.000,0.122
"(1465, 416, '0')",25.000,0.000,0,25.000,0.000,0.000,0.100,50.641,0,0,0.000,0,0.000,0.000,41.800,0.000,0.000,25.000,0.100
"(1466, 416, '0')",25.000,0.000,0,25.000,0.000,0.000,0.160,50.641,0,0,0.000,0,0.000,0.000,41.800,0.000,0.000,25.000,0.160
"(121, 1596, '0')",99999.000,0.000,0,99999.000,0.000,0.000,0.000,50.641,0,0,0.000,0,0.000,0.000,41.800,0.000,0.000,99999.000,0.000
"(130, 529, '0')",22.758,0.000,0,23.942,6.342,0.000,0.304,30.907,0,6,0.279,2,0.267,0.081,26.700,5.192,0.007,19.884,0.061
"(130, 18, '0')",22.758,0.000,0,23.942,6.342,0.000,0.304,30.907,0,6,0.279,2,0.267,0.081,26.700,5.192,0.007,19.884,0.062
"(524, 18, '0')",27.386,0.000,0,30.693,6.797,0.000,0.378,30.907,0,3,0.248,3,0.350,0.132,26.700,5.499,0.017,32.933,0.276
"(1303, 18, '0')",22.369,0.000,0,25.075,8.574,0.000,0.318,45.536,0,6,0.383,3,0.352,0.112,33.100,6.374,0.012,22.991,0.068
"(122, 1595, '0')",99999.000,0.000,0,99999.000,0.000,0.000,0.000,13.125,0,0,0.000,0,0.000,0.000,28.800,0.000,0.000,99999.000,0.000
"(132, 46, '0')",53.567,0.000,0,48.855,6.440,0.000,0.106,36.974,0,0,0.120,2,0.143,0.015,29.000,5.839,0.000,54.059,0.441
"(132, 127, '0')",53.567,0.000,0,48.855,6.440,0.000,0.106,36.974,0,0,0.120,2,0.143,0.015,29.000,5.839,0.000,54.059,0.237
"(133, 200, '0')",69.056,0.000,0,61.496,3.615,0.000,0.637,30.543,1,5,0.052,1,0.056,0.036,28.900,3.121,0.001,64.001,0.169
"(652, 200, '0')",69.056,0.000,0,61.496,3.615,0.000,0.637,30.543,1,5,0.052,1,0.056,0.036,28.900,3.121,0.001,64.001,0.197
"(134, 172, '0')",68.208,0.000,0,61.199,3.330,0.000,0.321,14.707,0,0,0.049,3,0.054,0.017,23.600,1.648,0.000,62.758,0.476
"(136, 385, '0')",66.364,0.000,0,61.199,5.026,0.000,0.409,20.893,0,5,0.076,6,0.115,0.047,29.500,2.195,0.002,62.758,0.325
"(1039, 123, '0')",30.000,0.000,0,30.000,0.000,0.000,0.122,23.867,0,0,0.000,0,0.000,0.000,21.300,0.000,0.000,30.000,0.122
"(700, 123, '0')",99999.000,0.000,0,99999.000,0.000,0.000,0.000,23.867,0,0,0.000,0,0.000,0.000,21.300,0.000,0.000,99999.000,0.000
"(1039, 125, '0')",24.777,0.000,0,24.195,4.615,0.000,1.267,24.432,2,10,0.186,1,0.261,0.330,39.300,2.337,0.109,24.855,0.015
"(699, 125, '0')",99999.000,0.000,0,99999.000,0.000,0.000,0.000,24.432,0,0,0.000,0,0.000,0.000,39.300,0.000,0.000,99999.000,0.000
"(1039, 1047, '0')",24.777,0.000,0,24.195,4.615,0.000,1.267,23.867,2,10,0.186,1,0.261,0.330,21.300,2.337,0.109,24.855,0.268
"(1039, 1043, '0')",26.389,0.000,0,25.884,4.237,0.000,1.172,23.867,3,10,0.161,0,0.195,0.228,21.300,2.513,0.052,27.962,0.448
"(123, 1039, '0')",30.000,0.000,0,30.000,0.000,0.000,0.122,23.867,0,0,0.000,0,0.000,0.000,21.300,0.000,0.000,30.000,0.122
"(125, 1039, '0')",26.389,0.000,0,25.884,4.237,0.000,1.172,24.432,3,10,0.161,0,0.195,0.228,39.300,2.513,0.052,27.962,0.122
"(1045, 1039, '0')",26.389,0.000,0,25.884,4.237,0.000,1.172,23.867,3,10,0.161,0,0.195,0.228,21.300,2.513,0.052,27.962,0.096
"(1421, 1039, '0')",24.777,0.000,0,24.195,4.615,0.000,1.267,23.867,2,10,0.186,1,0.261,0.330,21.300,2.337,0.109,24.855,0.091
"(123, 1567, '0')",99999.000,0.000,0,99999.000,0.000,0.000,0.000,23.867,0,0,0.000,0,0.000,0.000,21.300,0.000,0.000,99999.000,0.000
"(125, 1566, '0')",99999.000,0.000,0,99999.000,0.000,0.000,0.000,24.432,0,0,0.000,0,0.000,0.000,39.300,0.000,0.000,99999.000,0.000
"(1338, 126, '0')",27.386,0.000,0,23.023,5.064,0.000,1.131,66.344,0,5,0.185,0,0.198,0.224,36.700,3.144,0.050,27.340,0.122
"(623, 126, '0')",99999.000,0.000,0,99999.000,0.000,0.000,0.000,41.694,0,0,0.000,0,0.000,0.000,33.600,0.000,0.000,99999.000,0.000
"(1338, 137, '0')",30.259,0.000,0,25.826,4.928,0.000,1.004,66.344,1,5,0.163,0,0.174,0.175,36.700,4.305,0.030,27.962,0.122
"(617, 137, '0')",99999.000,0.000,0,99999.000,0.000,0.000,0.000,66.344,0,0,0.000,0,0.000,0.000,36.700,0.000,0.000,99999.000,0.000
"(1338, 1333, '0')",27.386,0.000,0,23.023,5.064,0.000,1.131,66.344,0,5,0.185,0,0.198,0.224,36.700,3.144,0.050,27.340,0.203
"(1338, 916, '0')",30.259,0.000,0,25.826,4.928,0.000,1.004,66.344,1,5,0.163,0,0.174,0.175,36.700,4.305,0.030,27.962,0.126
"(126, 1338, '0')",30.259,0.000,0,25.826,4.928,0.000,1.004,66.344,1,5,0.163,0,0.174,0.175,36.700,4.305,0.030,27.962,0.122
"(137, 1338, '0')",27.386,0.000,0,23.023,5.064,0.000,1.131,66.344,0,5,0.185,0,0.198,0.224,36.700,3.144,0.050,27.340,0.122
"(1337, 1338, '0')",27.386,0.000,0,23.023,5.064,0.000,1.131,66.344,0,5,0.185,0,0.198,0.224,36.700,3.144,0.050,27.340,0.110
"(1339, 1338, '0')",30.259,0.000,0,25.826,4.928,0.000,1.004,66.344,1,5,0.163,0,0.174,0.175,36.700,4.305,0.030,27.962,0.105
"(126, 1526, '0')",99999.000,0.000,0,99999.000,0.000,0.000,0.000,41.694,0,0,0.000,0,0.000,0.000,33.600,0.000,0.000,99999.000,0.000
"(137, 1525, '0')",99999.000,0.000,0,99999.000,0.000,0.000,0.000,66.344,0,0,0.000,0,0.000,0.000,36.700,0.000,0.000,99999.000,0.000
"(142, 61, '0')",68.778,0.000,0,64.040,2.255,0.000,0.573,66.653,0,1,0.033,0,0.032,0.018,34.400,2.361,0.000,67.108,0.291
"(1253, 1490, '0')",26.583,0.000,0,22.272,5.525,0.000,0.368,36.974,0,2,0.208,0,0.234,0.086,29.000,3.561,0.007,26.098,0.000
"(1253, 1252, '0')",27.722,0.000,0,22.965,4.816,0.000,0.249,67.240,1,1,0.174,0,0.200,0.050,34.200,4.497,0.002,26.098,0.106
"(139, 1109, '0')",21.314,0.000,0,21.140,4.009,0.000,0.715,13.125,1,8,0.188,0,0.206,0.147,28.800,3.214,0.022,21.748,0.122
"(1137, 1109, '0')",10.984,0.000,0,10.394,2.631,0.000,0.474,13.125,2,9,0.240,0,0.260,0.123,28.800,2.478,0.015,11.806,0.107
"(1138, 1109, '0')",14.887,0.000,0,13.938,2.996,0.000,0.255,13.125,1,8,0.201,0,0.216,0.055,28.800,1.996,0.003,16.156,0.080
"(1536, 1711, '0')",99999.000,0.000,0,99999.000,0.000,0.000,0.000,45.663,0,0,0.000,0,0.000,0.000,29.600,0.000,0.000,99999.000,0.000
"(145, 49, '0')",65.995,0.000,0,61.315,3.231,0.000,0.662,39.191,0,2,0.049,0,0.051,0.034,28.700,3.406,0.001,65.244,0.175
"(536, 139, '0')",17.651,0.000,0,16.577,3.901,0.000,0.637,13.125,0,3,0.221,0,0.198,0.126,28.800,4.303,0.016,16.777,0.000
"(146, 160, '0')",50.810,0.000,0,47.386,4.249,0.000,0.160,66.653,0,1,0.084,2,0.107,0.017,34.400,8.325,0.000,54.059,0.248
"(146, 48, '0')",50.810,0.000,0,47.386,4.249,0.000,0.160,66.653,0,1,0.084,2,0.107,0.017,34.400,8.325,0.000,54.059,0.173
"(888, 1512, '0')",26.195,0.000,0,21.916,5.335,0.000,0.584,30.907,1,2,0.204,0,0.239,0.140,26.700,5.659,0.019,26.098,0.000
"(888, 874, '0')",26.195,0.000,0,21.916,5.335,0.000,0.584,30.907,1,2,0.204,0,0.239,0.140,26.700,5.659,0.019,26.098,0.208
"(876, 874, '0')",26.195,0.000,0,21.916,5.335,0.000,0.584,30.907,1,2,0.204,0,0.239,0.140,26.700,5.659,0.019,26.098,0.106
"(878, 874, '0')",29.638,0.000,0,24.156,6.290,0.000,0.529,30.907,1,2,0.212,0,0.259,0.137,26.700,5.747,0.019,26.719,0.220
"(886, 874, '0')",23.450,0.000,0,24.156,7.202,0.000,0.691,54.944,0,2,0.307,0,0.356,0.246,33.800,5.747,0.061,26.719,0.126
"(1119, 138, '0')",23.185,0.000,0,21.923,5.157,0.000,1.010,14.243,1,8,0.222,0,0.264,0.267,24.900,3.626,0.071,24.233,0.122
"(996, 138, '0')",99999.000,0.000,0,99999.000,0.000,0.000,0.000,14.243,0,0,0.000,0,0.000,0.000,24.900,0.000,0.000,99999.000,0.000
"(1119, 140, '0')",25.657,0.000,0,21.431,4.015,0.000,0.885,14.243,2,8,0.156,0,0.154,0.136,24.900,2.905,0.019,21.748,0.122
"(995, 140, '0')",99999.000,0.000,0,99999.000,0.000,0.000,0.000,27.250,0,0,0.000,0,0.000,0.000,25.900,0.000,0.000,99999.000,0.000
"(1119, 1460, '0')",25.657,0.000,0,21.431,4.015,0.000,0.885,14.243,2,8,0.156,0,0.154,0.136,24.900,2.905,0.019,21.748,0.102
"(1120, 1460, '0')",23.185,0.000,0,21.923,5.157,0.000,1.010,14.243,1,8,0.222,0,0.264,0.267,24.900,3.626,0.071,24.233,0.241
"(1119, 1461, '0')",23.185,0.000,0,21.923,5.157,0.000,1.010,14.243,1,8,0.222,0,0.264,0.267,24.900,3.626,0.071,24.233,0.097
"(1180, 1461, '0')",25.657,0.000,0,21.431,4.015,0.000,0.885,14.243,2,8,0.156,0,0.154,0.136,24.900,2.905,0.019,21.748,0.077
"(138, 1119, '0')",25.657,0.000,0,21.431,4.015,0.000,0.885,14.243,2,8,0.156,0,0.154,0.136,24.900,2.905,0.019,21.748,0.122
"(140, 1119, '0')",23.185,0.000,0,21.923,5.157,0.000,1.010,14.243,1,8,0.222,0,0.264,0.267,24.900,3.626,0.071,24.233,0.122
"(1460, 1119, '0')",23.185,0.000,0,21.923,5.157,0.000,1.010,14.243,1,8,0.222,0,0.264,0.267,24.900,3.626,0.071,24.233,0.102
"(1461, 1119, '0')",25.657,0.000,0,21.431,4.015,0.000,0.885,14.243,2,8,0.156,0,0.154,0.136,24.900,2.905,0.019,21.748,0.097
"(138, 1583, '0')",99999.000,0.000,0,99999.000,0.000,0.000,0.000,14.243,0,0,0.000,0,0.000,0.000,24.900,0.000,0.000,99999.000,0.000
"(140, 1584, '0')",99999.000,0.000,0,99999.000,0.000,0.000,0.000,27.250,0,0,0.000,0,0.000,0.000,25.900,0.000,0.000,99999.000,0.000
"(149, 145, '0')",65.995,0.000,0,61.315,3.231,0.000,0.662,39.191,0,2,0.049,0,0.051,0.034,28.700,3.406,0.001,65.244,0.102
"(151, 556, '0')",65.684,0.000,0,58.202,8.909,0.000,0.557,36.974,0,1,0.136,8,0.268,0.149,29.000,7.045,0.022,65.244,0.104
"(152, 154, '0')",64.739,0.000,0,58.409,12.791,0.000,0.388,36.974,0,1,0.198,2,0.469,0.182,29.000,8.390,0.033,65.244,0.459
"(153, 132, '0')",67.594,0.000,0,62.357,2.853,0.000,0.469,36.974,0,0,0.042,0,0.044,0.021,29.000,2.390,0.000,65.244,0.234
"(1624, 1576, '0')",99999.000,0.000,0,99999.000,0.000,0.000,0.000,29.375,0,0,0.000,0,0.000,0.000,24.700,0.000,0.000,99999.000,0.000
"(1624, 1436, '0')",23.755,0.000,0,19.780,4.993,0.000,0.371,29.375,2,4,0.210,1,0.274,0.102,24.700,3.073,0.010,19.884,0.079
"(1625, 1436, '0')",23.755,0.000,0,19.780,4.993,0.000,0.371,14.243,2,4,0.210,1,0.274,0.102,24.900,3.073,0.010,19.884,0.069
"(1437, 1436, '0')",26.078,0.000,0,22.692,5.457,0.000,0.151,14.243,0,2,0.209,1,0.236,0.036,24.900,2.304,0.001,22.991,0.177
"(1439, 1436, '0')",23.755,0.000,0,19.780,4.993,0.000,0.371,14.243,2,4,0.210,1,0.274,0.102,24.900,3.073,0.010,19.884,0.512
"(154, 547, '0')",63.470,0.000,0,58.927,12.846,0.000,0.540,30.907,0,1,0.202,3,0.416,0.225,26.700,8.631,0.050,65.244,0.160
