key,speed_avg,speed_ref_sd,tt_sd_adj,speed_hist_avg,speed_sd,road_closures,tt_avg,median_inc,bus_stops,intersections,speed_cv,incidents,tt_cv,tt_sd,median_age,speed_hist_sd,tt_var,speed_ref_avg,tf
"(62, 23, '0')",13.942,0.000,0,29.211,9.225,0.000,0.397,66.653,0,1,0.662,0,0.543,0.215,34.400,9.227,0.046,27.962,0.136
"(95, 23, '0')",36.946,0.000,0,37.684,6.915,0.000,0.249,66.653,0,0,0.187,0,0.230,0.057,34.400,8.145,0.003,42.253,0.439
"(9, 708, '0')",35.000,0.000,0,35.000,0.000,0.000,0.105,66.653,0,1,0.000,0,0.000,0.000,34.400,0.000,0.000,35.000,0.105
"(707, 708, '0')",27.450,0.000,0,22.887,4.775,0.000,0.266,66.653,0,2,0.174,0,0.207,0.055,34.400,4.793,0.003,24.233,0.146
"(737, 708, '0')",19.722,0.000,0,16.072,4.939,0.000,0.298,66.653,0,2,0.250,0,0.271,0.081,34.400,3.889,0.007,19.263,0.118
"(9, 1230, '0')",99999.000,0.000,0,99999.000,0.000,0.000,0.000,66.653,0,1,0.000,0,0.000,0.000,34.400,0.000,0.000,99999.000,0.000
"(82, 237, '0')",55.000,0.000,0,55.000,0.000,0.000,0.059,66.653,0,2,0.000,0,0.000,0.000,34.400,0.000,0.000,55.000,0.059
"(144, 237, '0')",66.953,0.000,0,63.788,4.098,0.000,0.192,66.653,0,0,0.061,3,0.078,0.015,34.400,1.617,0.000,65.244,0.396
"(62, 144, '0')",69.723,0.000,0,64.823,2.588,0.000,0.229,66.653,0,1,0.037,2,0.043,0.010,34.400,2.522,0.000,65.865,0.209
"(48, 144, '0')",69.613,0.000,0,65.179,3.582,0.000,0.255,66.653,0,3,0.051,4,0.057,0.014,34.400,1.820,0.000,67.108,0.325
"(57, 55, '0')",34.926,0.000,0,33.586,8.655,0.000,0.553,93.828,0,1,0.248,2,0.258,0.142,31.100,8.031,0.020,37.904,0.098
"(56, 55, '0')",22.227,0.000,0,23.178,7.775,0.000,0.215,93.828,0,2,0.350,0,0.374,0.081,31.100,7.756,0.006,24.233,0.178
"(93, 55, '0')",34.926,0.000,0,33.586,8.655,0.000,0.553,93.828,0,1,0.248,2,0.258,0.142,31.100,8.031,0.020,37.904,0.242
"(580, 142, '0')",70.357,0.000,0,64.370,2.681,0.000,0.527,66.653,0,0,0.038,0,0.041,0.022,34.400,2.342,0.000,67.108,2.113
"(12, 77, '0')",59.438,0.000,0,56.655,7.556,0.000,0.244,14.243,0,4,0.127,0,0.322,0.078,24.900,8.690,0.006,60.273,0.281
"(143, 579, '0')",69.852,0.000,0,64.506,3.433,0.000,0.390,66.653,0,0,0.049,0,0.057,0.022,34.400,2.287,0.000,67.108,2.113
"(1217, 10, '0')",24.965,0.000,0,21.127,4.552,0.000,0.963,39.191,3,3,0.182,0,0.174,0.167,28.700,4.322,0.028,24.855,0.146
"(561, 10, '0')",99999.000,0.000,0,99999.000,0.000,0.000,0.000,39.191,0,0,0.000,0,0.000,0.000,28.700,0.000,0.000,99999.000,0.000
"(1217, 1196, '0')",24.965,0.000,0,21.127,4.552,0.000,0.963,39.191,3,3,0.182,0,0.174,0.167,28.700,4.322,0.028,24.855,0.171
"(14, 414, '0')",68.221,0.000,0,62.273,2.903,0.000,0.411,27.250,0,4,0.043,7,0.049,0.020,25.900,1.783,0.000,62.758,0.185
"(577, 580, '0')",65.000,0.000,0,65.000,0.000,0.000,1.815,37.414,0,0,0.000,0,0.000,0.000,31.779,0.000,0.000,65.000,1.815
"(15, 14, '0')",19.191,0.000,0,22.538,8.532,0.000,0.299,27.250,0,1,0.445,0,0.548,0.164,25.900,7.185,0.027,24.233,0.084
"(579, 647, '0')",65.000,0.000,0,65.000,0.000,0.000,1.815,37.414,0,0,0.000,0,0.000,0.000,31.779,0.000,0.000,65.000,1.815
"(16, 221, '0')",24.408,0.000,0,24.376,7.014,0.000,0.685,64.773,2,3,0.287,0,0.351,0.240,40.400,5.566,0.058,29.204,0.188
"(873, 221, '0')",16.512,0.000,0,21.398,7.743,0.000,0.063,64.773,0,1,0.469,0,0.522,0.033,40.400,3.402,0.001,22.991,0.180
"(904, 221, '0')",18.253,0.000,0,20.564,6.165,0.000,0.424,64.773,1,1,0.338,0,0.421,0.178,40.400,2.732,0.032,24.233,0.239
"(1308, 221, '0')",28.214,0.000,0,23.172,5.516,0.000,0.558,64.773,2,3,0.196,0,0.219,0.122,40.400,4.743,0.015,22.991,0.131
"(16, 895, '0')",28.214,0.000,0,23.172,5.516,0.000,0.558,64.773,2,3,0.196,0,0.219,0.122,40.400,4.743,0.015,22.991,0.596
"(111, 895, '0')",25.780,0.000,0,24.376,6.787,0.000,0.615,64.773,2,2,0.263,0,0.310,0.190,40.400,5.566,0.036,29.204,0.000
"(17, 1250, '0')",23.075,0.000,0,22.272,4.618,0.000,0.248,67.240,1,2,0.200,0,0.230,0.057,34.200,3.561,0.003,26.098,0.224
"(1252, 1250, '0')",21.010,0.000,0,22.169,5.965,0.000,0.424,67.240,0,2,0.284,0,0.391,0.166,34.200,3.651,0.028,24.233,0.205
"(570, 1250, '0')",99999.000,0.000,0,99999.000,0.000,0.000,0.000,67.240,0,0,0.000,0,0.000,0.000,34.200,0.000,0.000,99999.000,0.000
"(17, 6, '0')",20.447,0.000,0,18.796,8.649,0.000,0.447,36.974,0,2,0.423,0,0.466,0.208,29.000,5.302,0.043,29.826,0.209
"(539, 6, '0')",18.563,0.000,0,19.023,6.585,0.000,0.632,36.974,0,3,0.355,1,0.386,0.244,29.000,4.610,0.060,19.263,0.216
"(17, 1275, '0')",26.298,0.000,0,22.169,3.636,0.000,0.571,67.240,1,2,0.138,1,0.160,0.091,34.200,3.651,0.008,24.233,0.268
"(17, 213, '0')",26.111,0.000,0,19.023,4.508,0.000,0.238,67.240,0,1,0.173,1,0.217,0.051,34.200,4.610,0.003,19.263,0.223
"(847, 213, '0')",31.224,0.000,0,18.796,5.289,0.000,0.731,67.240,0,8,0.169,0,0.239,0.175,34.200,5.302,0.031,29.826,0.438
"(712, 728, '0')",40.389,0.000,0,40.173,2.508,0.000,0.322,66.653,0,2,0.062,0,0.058,0.019,34.400,3.371,0.000,41.010,0.206
"(712, 706, '0')",14.479,0.000,0,27.574,9.647,0.000,0.087,66.653,0,1,0.666,0,0.462,0.040,34.400,5.232,0.002,31.069,0.118
"(703, 706, '0')",30.861,0.000,0,29.211,8.428,0.000,0.498,66.653,1,3,0.273,0,0.321,0.160,34.400,9.227,0.025,27.962,0.183
"(715, 706, '0')",22.376,0.000,0,26.365,8.281,0.000,0.905,66.653,0,2,0.370,0,0.421,0.382,34.400,6.315,0.146,26.719,0.134
"(717, 706, '0')",25.780,0.000,0,30.544,11.123,0.000,0.023,66.653,0,1,0.431,0,0.254,0.006,34.400,9.183,0.000,34.175,0.163
"(729, 712, '0')",17.217,0.000,0,27.574,8.994,0.000,0.429,66.653,0,2,0.522,0,0.403,0.173,34.400,5.232,0.030,31.069,0.206
"(706, 712, '0')",17.618,0.000,0,26.365,9.884,0.000,0.068,66.653,0,1,0.561,0,0.583,0.039,34.400,6.315,0.002,26.719,0.118
"(70, 147, '0')",50.000,0.000,0,50.000,0.000,0.000,0.200,93.828,0,0,0.000,0,0.000,0.000,31.100,0.000,0.000,50.000,0.200
"(18, 1303, '0')",23.237,0.000,0,26.751,7.770,0.000,0.138,45.536,0,2,0.334,0,0.333,0.046,33.100,5.962,0.002,29.826,0.068
"(34, 1303, '0')",25.107,0.000,0,25.263,7.631,0.000,0.160,30.907,0,2,0.304,0,0.293,0.047,26.700,7.130,0.002,24.855,0.068
"(18, 5, '0')",22.369,0.000,0,25.075,8.574,0.000,0.318,45.536,0,6,0.383,3,0.352,0.112,33.100,6.374,0.012,22.991,0.053
"(150, 32, '0')",31.347,0.000,0,45.619,12.588,0.000,0.578,24.821,0,1,0.402,1,0.585,0.338,46.000,9.600,0.115,32.933,0.305
"(150, 287, '0')",31.347,0.000,0,45.619,12.588,0.000,0.578,24.821,0,1,0.402,1,0.585,0.338,46.000,9.600,0.115,32.933,0.320
"(560, 238, '0')",45.000,0.000,0,45.000,0.000,0.000,0.253,24.821,0,1,0.000,0,0.000,0.000,46.000,0.000,0.000,45.000,0.253
"(19, 309, '0')",65.762,0.000,0,61.419,3.326,0.000,0.272,39.750,0,1,0.051,18,0.051,0.014,29.900,2.105,0.000,63.380,0.173
"(135, 309, '0')",65.762,0.000,0,61.419,3.326,0.000,0.272,24.432,0,1,0.051,18,0.051,0.014,39.300,2.105,0.000,63.380,0.135
"(558, 115, '0')",65.335,0.000,0,58.603,5.773,0.000,0.203,36.974,0,1,0.088,8,0.122,0.025,29.000,7.263,0.001,62.758,0.397
"(10, 1217, '0')",22.803,0.000,0,21.864,6.122,0.000,1.114,39.191,4,4,0.268,0,0.265,0.295,28.700,5.147,0.087,22.991,0.146
"(1214, 1217, '0')",22.803,0.000,0,21.864,6.122,0.000,1.114,39.191,4,4,0.268,0,0.265,0.295,28.700,5.147,0.087,22.991,0.227
"(1216, 1217, '0')",24.965,0.000,0,21.127,4.552,0.000,0.963,39.191,3,3,0.182,0,0.174,0.167,28.700,4.322,0.028,24.855,0.128
"(10, 1285, '0')",99999.000,0.000,0,99999.000,0.000,0.000,0.000,39.191,0,0,0.000,0,0.000,0.000,28.700,0.000,0.000,99999.000,0.000
"(127, 555, '0')",23.593,0.000,0,27.269,9.963,0.000,0.587,36.974,0,1,0.422,0,0.473,0.278,29.000,9.424,0.077,26.719,0.240
"(1555, 1730, '0')",99999.000,0.000,0,99999.000,0.000,0.000,0.000,24.619,0,0,0.000,0,0.000,0.000,31.600,0.000,0.000,99999.000,0.000
