key,tt_sd,speed_ref_avg,speed_avg,speed_sd,tt_var,tt_cv,incidents,bus_stops,median_inc,median_age,intersections,tt_avg,speed_ref_sd,tt_sd_adj,speed_hist_sd,speed_hist_avg,road_closures,speed_cv,tf
"(996, 138, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,14.243,24.900,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(1119, 140, '0')",0.127,21.748,23.004,2.987,0.016,0.129,0,2,14.243,24.900,8,0.982,0.000,0,2.364,20.745,0.000,0.130,0.122
"(995, 140, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,27.250,25.900,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(1119, 1460, '0')",0.127,21.748,23.004,2.987,0.016,0.129,0,2,14.243,24.900,8,0.982,0.000,0,2.364,20.745,0.000,0.130,0.102
"(1120, 1460, '0')",0.137,24.233,24.648,3.534,0.019,0.149,0,1,14.243,24.900,8,0.917,0.000,0,2.676,22.589,0.000,0.143,0.241
"(1119, 1461, '0')",0.137,24.233,24.648,3.534,0.019,0.149,0,1,14.243,24.900,8,0.917,0.000,0,2.676,22.589,0.000,0.143,0.097
"(1180, 1461, '0')",0.127,21.748,23.004,2.987,0.016,0.129,0,2,14.243,24.900,8,0.982,0.000,0,2.364,20.745,0.000,0.130,0.077
"(138, 1119, '0')",0.127,21.748,23.004,2.987,0.016,0.129,0,2,14.243,24.900,8,0.982,0.000,0,2.364,20.745,0.000,0.130,0.122
"(140, 1119, '0')",0.137,24.233,24.648,3.534,0.019,0.149,0,1,14.243,24.900,8,0.917,0.000,0,2.676,22.589,0.000,0.143,0.122
"(1460, 1119, '0')",0.137,24.233,24.648,3.534,0.019,0.149,0,1,14.243,24.900,8,0.917,0.000,0,2.676,22.589,0.000,0.143,0.102
"(1461, 1119, '0')",0.127,21.748,23.004,2.987,0.016,0.129,0,2,14.243,24.900,8,0.982,0.000,0,2.364,20.745,0.000,0.130,0.097
"(138, 1583, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,14.243,24.900,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(140, 1584, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,27.250,25.900,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(149, 145, '0')",0.029,65.244,65.367,2.659,0.001,0.044,0,0,39.191,28.700,2,0.668,0.000,0,3.734,64.047,0.000,0.041,0.102
"(151, 556, '0')",0.019,65.244,67.082,2.274,0.000,0.035,1,0,36.974,29.000,1,0.528,0.000,0,3.114,63.865,0.000,0.034,0.104
"(152, 154, '0')",0.015,65.244,67.082,2.274,0.000,0.044,1,0,36.974,29.000,1,0.341,0.000,0,3.114,63.865,0.000,0.034,0.459
"(153, 132, '0')",0.014,65.865,66.888,2.116,0.000,0.030,0,0,36.974,29.000,0,0.472,0.000,0,2.859,65.238,0.000,0.032,0.234
"(1624, 1576, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,29.375,24.700,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(1624, 1436, '0')",0.051,21.748,22.227,3.042,0.003,0.134,0,2,29.375,24.700,4,0.382,0.000,0,2.713,20.471,0.000,0.137,0.079
"(1625, 1436, '0')",0.051,21.748,22.227,3.042,0.003,0.134,0,2,14.243,24.900,4,0.382,0.000,0,2.713,20.471,0.000,0.137,0.069
"(1437, 1436, '0')",0.019,26.719,26.434,3.196,0.000,0.136,0,0,14.243,24.900,2,0.142,0.000,0,2.452,25.295,0.000,0.121,0.177
"(1439, 1436, '0')",0.051,21.748,22.227,3.042,0.003,0.134,0,2,14.243,24.900,4,0.382,0.000,0,2.713,20.471,0.000,0.137,0.512
"(154, 547, '0')",0.014,65.865,67.496,1.911,0.000,0.030,1,0,30.907,26.700,1,0.466,0.000,0,4.234,63.820,0.000,0.028,0.160
"(551, 547, '0')",0.014,65.865,67.496,1.911,0.000,0.030,1,0,30.907,26.700,1,0.466,0.000,0,4.234,63.820,0.000,0.028,0.222
"(954, 994, '0')",0.029,31.069,30.810,4.235,0.001,0.145,0,1,15.738,46.800,2,0.199,0.000,0,4.824,28.091,0.000,0.137,0.779
"(954, 958, '0')",0.082,29.826,29.004,5.389,0.007,0.212,0,0,15.738,46.800,3,0.387,0.000,0,3.633,28.415,0.000,0.186,0.267
"(1384, 1379, '0')",0.046,24.855,26.285,3.393,0.002,0.135,0,1,15.738,46.800,2,0.339,0.000,0,3.156,24.700,0.000,0.129,0.144
"(947, 1379, '0')",0.052,22.991,24.628,3.498,0.003,0.143,0,1,15.738,46.800,2,0.361,0.000,0,3.130,21.791,0.000,0.142,0.105
"(1384, 949, '0')",0.052,22.991,24.628,3.498,0.003,0.143,0,1,15.738,46.800,2,0.361,0.000,0,3.130,21.791,0.000,0.142,0.084
"(931, 949, '0')",0.004,24.855,26.285,3.393,0.000,0.187,0,0,44.531,29.100,1,0.022,0.000,0,3.156,24.700,0.000,0.129,0.192
"(155, 215, '0')",0.009,65.865,68.176,1.886,0.000,0.037,3,0,30.907,26.700,2,0.253,0.000,0,3.993,64.590,0.000,0.028,0.451
"(532, 215, '0')",0.075,31.690,32.816,6.773,0.006,0.247,0,0,30.907,26.700,3,0.305,0.000,0,4.016,30.635,0.000,0.206,0.121
"(156, 153, '0')",0.014,65.865,66.888,2.116,0.000,0.030,0,0,36.974,29.000,0,0.472,0.000,0,2.859,65.238,0.000,0.032,0.361
"(1379, 1384, '0')",0.052,22.991,24.628,3.498,0.003,0.143,0,1,15.738,46.800,2,0.361,0.000,0,3.130,21.791,0.000,0.142,0.144
"(949, 1384, '0')",0.046,24.855,26.285,3.393,0.002,0.135,0,1,15.738,46.800,2,0.339,0.000,0,3.156,24.700,0.000,0.129,0.084
"(1379, 947, '0')",0.046,24.855,26.285,3.393,0.002,0.135,0,1,15.738,46.800,2,0.339,0.000,0,3.156,24.700,0.000,0.129,0.105
"(1378, 947, '0')",0.018,22.991,24.628,3.498,0.000,0.146,0,1,15.738,46.800,3,0.125,0.000,0,3.130,21.791,0.000,0.142,0.029
"(648, 947, '0')",0.046,24.855,26.285,3.393,0.002,0.135,0,1,15.738,46.800,2,0.339,0.000,0,3.156,24.700,0.000,0.129,0.000
"(157, 1203, '0')",0.017,26.719,27.891,3.426,0.000,0.127,0,1,56.987,30.500,1,0.136,0.000,0,4.147,25.185,0.000,0.123,0.119
"(1205, 1203, '0')",0.040,29.204,29.153,4.576,0.002,0.169,0,0,56.987,30.500,2,0.234,0.000,0,3.742,27.030,0.000,0.157,0.274
"(1209, 1203, '0')",0.000,25.000,25.000,0.000,0.000,0.000,0,0,56.987,30.500,0,0.192,0.000,0,0.000,25.000,0.000,0.000,0.192
"(157, 1202, '0')",0.017,26.719,27.891,3.426,0.000,0.127,0,1,56.987,30.500,1,0.136,0.000,0,4.147,25.185,0.000,0.123,0.219
"(1207, 1202, '0')",0.040,29.204,29.153,4.576,0.002,0.169,0,0,24.821,46.000,2,0.234,0.000,0,3.742,27.030,0.000,0.157,0.255
"(1210, 1202, '0')",0.040,29.204,29.153,4.576,0.002,0.169,0,0,56.987,30.500,2,0.234,0.000,0,3.742,27.030,0.000,0.157,0.070
"(1535, 1710, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,45.663,29.600,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(159, 823, '0')",0.128,34.797,36.324,5.835,0.016,0.156,1,1,56.987,30.500,4,0.820,0.000,0,4.653,32.790,0.000,0.161,0.302
"(387, 823, '0')",0.237,34.797,33.502,7.180,0.056,0.259,0,1,56.987,30.500,4,0.913,0.000,0,5.877,32.525,0.000,0.214,0.000
"(1534, 1709, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,37.414,17.500,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(1533, 1708, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,44.531,29.100,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(161, 85, '0')",0.006,65.244,67.108,2.325,0.000,0.057,3,0,14.243,24.900,0,0.099,0.000,0,2.056,63.775,0.000,0.035,0.294
"(328, 85, '0')",0.006,65.244,67.108,2.325,0.000,0.057,3,0,14.243,24.900,0,0.099,0.000,0,2.056,63.775,0.000,0.035,0.362
"(1532, 1707, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,51.232,29.600,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(162, 52, '0')",0.010,62.137,62.390,2.366,0.000,0.052,0,0,24.432,39.300,5,0.185,0.000,0,2.113,61.509,0.000,0.038,0.131
"(1531, 1706, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,37.414,17.500,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(163, 928, '0')",0.180,26.098,24.635,3.584,0.032,0.147,1,3,66.344,36.700,5,1.227,0.000,0,3.036,24.233,0.000,0.145,0.302
"(929, 928, '0')",0.191,24.233,23.547,3.641,0.037,0.149,1,3,66.344,36.700,5,1.287,0.000,0,3.065,22.369,0.000,0.155,0.306
"(163, 930, '0')",0.191,24.233,23.547,3.641,0.037,0.149,1,3,66.344,36.700,5,1.287,0.000,0,3.065,22.369,0.000,0.155,0.481
"(223, 930, '0')",0.005,26.098,24.635,3.584,0.000,0.189,0,0,66.344,36.700,1,0.026,0.000,0,3.036,24.233,0.000,0.145,0.122
"(1530, 1705, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,41.694,33.600,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(164, 205, '0')",0.070,21.748,20.479,3.389,0.005,0.156,0,0,20.750,29.300,6,0.453,0.000,0,2.906,19.514,0.000,0.165,0.115
"(165, 268, '0')",0.013,64.001,66.254,2.817,0.000,0.051,1,0,27.250,25.900,0,0.252,0.000,0,3.814,62.137,0.000,0.043,0.087
"(1529, 1704, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,90.409,38.700,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(1528, 1703, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,41.563,30.700,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(1527, 1702, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,41.694,33.600,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(167, 185, '0')",0.032,60.273,55.360,4.465,0.001,0.082,0,0,37.414,16.600,1,0.395,0.000,0,3.538,58.441,0.000,0.081,0.246
"(168, 161, '0')",0.009,60.273,62.797,2.786,0.000,0.051,0,0,14.243,24.900,1,0.173,0.000,0,5.784,58.402,0.000,0.044,0.417
"(293, 161, '0')",0.023,67.729,69.056,2.069,0.001,0.031,0,0,14.243,24.900,16,0.737,0.000,0,2.354,66.694,0.000,0.030,0.107
"(1526, 1701, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,41.694,33.600,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(1525, 1700, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,66.344,36.700,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(170, 207, '0')",0.019,65.244,67.801,2.066,0.000,0.031,2,0,21.600,26.000,4,0.620,0.000,0,2.207,63.781,0.000,0.030,0.177
"(170, 168, '0')",0.009,60.273,62.797,2.786,0.000,0.051,0,0,21.600,26.000,1,0.173,0.000,0,5.784,58.402,0.000,0.044,0.212
"(1524, 1699, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,41.563,30.700,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(1523, 1698, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,66.344,36.700,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(172, 697, '0')",0.009,65.244,67.613,2.066,0.000,0.026,2,0,14.707,23.600,0,0.323,0.000,0,2.694,63.503,0.000,0.031,0.160
"(172, 302, '0')",0.009,65.244,67.613,2.066,0.000,0.026,2,0,14.707,23.600,0,0.323,0.000,0,2.694,63.503,0.000,0.031,0.178
"(1522, 1697, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,42.066,27.800,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(1521, 1696, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,45.536,33.100,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(173, 167, '0')",0.032,60.273,55.360,4.465,0.001,0.082,0,0,37.414,16.600,1,0.395,0.000,0,3.538,58.441,0.000,0.081,0.190
"(1520, 1695, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,45.536,33.100,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(174, 44, '0')",0.034,44.739,45.244,6.765,0.001,0.182,1,0,23.075,28.300,2,0.188,0.000,0,6.686,43.412,0.000,0.150,0.280
"(1519, 1694, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,66.344,36.700,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(1518, 1693, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,42.066,27.800,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(177, 173, '0')",0.039,52.817,52.331,3.903,0.002,0.084,0,0,21.114,36.700,1,0.464,0.000,0,3.698,52.382,0.000,0.075,0.279
"(1517, 1692, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,45.536,33.100,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(178, 204, '0')",0.067,49.088,45.017,7.275,0.004,0.210,0,0,27.250,25.900,1,0.317,0.000,0,10.247,42.499,0.000,0.162,0.230
"(426, 204, '0')",0.067,49.088,45.017,7.275,0.004,0.210,0,0,27.250,25.900,1,0.317,0.000,0,10.247,42.499,0.000,0.162,0.103
"(1516, 1691, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,30.907,26.700,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(1515, 1690, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,45.536,33.100,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(179, 183, '0')",0.023,65.244,61.483,3.872,0.001,0.063,1,0,14.707,23.600,0,0.364,0.000,0,7.937,60.713,0.000,0.063,0.475
"(180, 267, '0')",0.004,65.865,67.477,3.243,0.000,0.036,1,0,14.243,24.900,0,0.121,0.000,0,4.010,64.124,0.000,0.048,0.140
"(1514, 1689, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,30.907,26.700,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(1513, 1688, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,54.944,33.800,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(181, 83, '0')",0.035,59.030,61.218,3.844,0.001,0.062,0,0,44.740,31.700,0,0.575,0.000,0,1.733,57.580,0.000,0.063,0.000
"(1512, 1687, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,30.907,26.700,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(182, 99, '0')",0.030,65.244,67.160,2.617,0.001,0.041,2,0,14.243,24.900,7,0.729,0.000,0,3.233,62.810,0.000,0.039,0.415
"(1511, 1686, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,54.944,33.800,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(1510, 1685, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,64.773,40.400,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(184, 108, '0')",0.047,47.846,52.817,7.189,0.002,0.161,0,0,32.869,24.300,1,0.289,0.000,0,5.521,45.360,0.000,0.136,0.000
"(1509, 1684, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,30.907,26.700,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(185, 186, '0')",0.047,47.846,52.817,7.189,0.002,0.161,0,0,37.414,16.600,1,0.289,0.000,0,5.521,45.360,0.000,0.136,0.277
"(1508, 1683, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,30.907,26.700,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(186, 184, '0')",0.047,47.846,52.817,7.189,0.002,0.161,0,0,32.869,24.300,1,0.289,0.000,0,5.521,45.360,0.000,0.136,0.131
"(187, 188, '0')",0.023,65.244,67.128,2.269,0.001,0.035,0,0,37.414,16.600,1,0.674,0.000,0,1.868,63.153,0.000,0.034,0.398
"(1507, 1682, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,54.944,33.800,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(188, 87, '0')",0.013,65.244,67.781,2.233,0.000,0.038,1,0,37.414,16.600,2,0.334,0.000,0,2.117,63.833,0.000,0.033,0.116
"(1506, 1681, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,30.907,26.700,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(1505, 1680, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,54.944,33.800,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(189, 182, '0')",0.015,55.923,56.914,3.363,0.000,0.058,0,0,14.243,24.900,1,0.262,0.000,0,4.706,56.862,0.000,0.059,0.294
"(1504, 1679, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,64.773,40.400,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(190, 69, '0')",0.035,59.030,61.218,3.844,0.001,0.062,0,0,44.740,31.700,0,0.575,0.000,0,1.733,57.580,0.000,0.063,0.262
"(191, 171, '0')",0.013,65.244,67.781,2.233,0.000,0.038,1,0,21.114,36.700,2,0.334,0.000,0,2.117,63.833,0.000,0.033,0.125
"(1503, 1678, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,30.907,26.700,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(192, 191, '0')",0.013,65.244,67.781,2.233,0.000,0.038,1,0,37.414,16.600,2,0.334,0.000,0,2.117,63.833,0.000,0.033,0.072
"(1502, 1677, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,54.944,33.800,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(1501, 1676, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,30.907,26.700,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(1613, 1788, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,13.125,28.800,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(1500, 1675, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,54.944,33.800,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(1499, 1674, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,46.667,34.100,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(1498, 1673, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,30.907,26.700,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(195, 196, '0')",0.031,62.137,65.419,4.044,0.001,0.068,0,0,44.740,31.700,2,0.456,0.000,0,1.433,61.069,0.000,0.062,0.410
"(1497, 1672, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,30.907,26.700,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(196, 102, '0')",0.034,60.894,65.302,3.951,0.001,0.063,0,0,44.740,31.700,2,0.541,0.000,0,1.189,60.558,0.000,0.060,0.580
"(197, 270, '0')",0.024,60.894,64.254,2.936,0.001,0.051,0,0,30.543,28.900,2,0.467,0.000,0,2.265,60.428,0.000,0.046,0.078
"(620, 270, '0')",0.024,60.894,64.254,2.936,0.001,0.051,0,0,30.543,28.900,2,0.467,0.000,0,2.265,60.428,0.000,0.046,0.117
"(1496, 1671, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,54.944,33.800,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(1495, 1670, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,46.667,34.100,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(198, 202, '0')",0.010,64.001,67.361,1.729,0.000,0.042,0,0,20.893,29.500,3,0.240,0.000,0,1.612,63.788,0.000,0.026,0.426
"(1494, 1669, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,30.907,26.700,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(199, 78, '0')",0.032,36.040,36.706,5.773,0.001,0.165,1,0,41.544,28.300,1,0.196,0.000,0,3.298,34.039,0.000,0.157,0.351
"(1493, 1668, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,36.974,29.000,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(1492, 1667, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,41.811,35.500,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(200, 84, '0')",0.029,65.865,66.623,2.778,0.001,0.043,1,1,41.544,28.300,5,0.660,0.000,0,2.416,64.636,0.000,0.042,0.116
"(1491, 1666, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,67.240,34.200,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(201, 199, '0')",0.017,62.137,66.040,3.731,0.000,0.064,1,0,41.544,28.300,4,0.258,0.000,0,1.949,61.749,0.000,0.056,0.112
"(1490, 1665, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,36.974,29.000,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(202, 411, '0')",0.042,44.739,43.852,5.261,0.002,0.137,0,1,20.893,29.500,12,0.310,0.000,0,3.128,45.250,0.000,0.120,0.231
"(202, 289, '0')",0.042,44.739,43.852,5.261,0.002,0.137,0,1,20.893,29.500,12,0.310,0.000,0,3.128,45.250,0.000,0.120,0.282
"(203, 415, '0')",0.061,42.875,39.677,6.960,0.004,0.215,0,0,20.893,29.500,1,0.285,0.000,0,6.037,39.754,0.000,0.175,0.183
"(203, 424, '0')",0.061,42.875,39.677,6.960,0.004,0.215,0,0,20.893,29.500,1,0.285,0.000,0,6.037,39.754,0.000,0.175,0.080
"(1489, 1664, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,67.240,34.200,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(204, 165, '0')",0.013,64.001,66.254,2.817,0.000,0.051,1,0,27.250,25.900,0,0.252,0.000,0,3.814,62.137,0.000,0.043,0.217
"(1488, 1663, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,36.974,29.000,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(1487, 1662, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,36.974,29.000,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(1486, 1661, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,41.811,35.500,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(1485, 1660, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,36.974,29.000,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(206, 56, '0')",0.010,22.991,21.845,6.833,0.000,0.303,0,0,93.828,31.100,1,0.032,0.000,0,4.339,20.751,0.000,0.313,0.167
"(206, 66, '0')",0.004,31.069,31.418,4.182,0.000,0.161,0,0,39.191,28.700,1,0.027,0.000,0,2.433,29.366,0.000,0.133,0.184
"(818, 66, '0')",0.159,26.098,25.780,4.680,0.025,0.217,0,0,39.191,28.700,3,0.731,0.000,0,3.876,24.486,0.000,0.182,0.520
"(206, 1216, '0')",0.271,27.962,25.399,7.356,0.073,0.273,0,3,39.191,28.700,3,0.994,0.000,0,4.870,25.379,0.000,0.290,0.135
"(206, 744, '0')",0.090,27.962,26.467,5.960,0.008,0.208,0,0,93.828,31.100,3,0.430,0.000,0,4.429,26.052,0.000,0.225,0.180
"(743, 744, '0')",0.084,27.962,26.389,5.577,0.007,0.197,0,0,93.828,31.100,2,0.427,0.000,0,2.924,25.405,0.000,0.211,0.224
"(1484, 1659, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,67.240,34.200,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(207, 1, '0')",0.009,60.273,62.797,2.786,0.000,0.051,0,0,14.243,24.900,1,0.173,0.000,0,5.784,58.402,0.000,0.044,0.291
"(1401, 1658, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,36.974,29.000,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(1400, 1657, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,36.974,29.000,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(1399, 1656, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,34.923,66.000,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(1396, 1655, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,61.250,50.900,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(1394, 1654, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,36.974,29.000,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(209, 33, '0')",0.047,24.855,25.263,3.719,0.002,0.151,0,0,30.907,26.700,2,0.308,0.000,0,4.241,22.531,0.000,0.147,0.151
"(840, 33, '0')",0.089,19.884,20.466,4.867,0.008,0.225,0,0,30.907,26.700,2,0.393,0.000,0,2.991,17.987,0.000,0.238,0.167
"(209, 672, '0')",0.055,49.088,48.292,7.498,0.003,0.244,1,0,30.907,26.700,1,0.226,0.000,0,6.257,46.299,0.000,0.155,0.034
"(209, 166, '0')",0.089,19.884,20.466,4.867,0.008,0.225,0,0,30.907,26.700,2,0.393,0.000,0,2.991,17.987,0.000,0.238,0.081
"(1393, 1653, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,36.974,29.000,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(1392, 1652, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,34.923,66.000,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(210, 1037, '0')",0.000,40.000,40.000,0.000,0.000,0.000,0,0,24.619,31.600,0,0.358,0.000,0,0.000,40.000,0.000,0.000,0.358
"(210, 1056, '0')",0.138,21.748,23.450,5.061,0.019,0.212,0,0,37.414,23.400,3,0.652,0.000,0,5.329,20.609,0.000,0.216,0.164
"(1055, 1056, '0')",0.144,24.233,25.178,3.359,0.021,0.129,0,2,28.261,35.400,7,1.117,0.000,0,3.138,22.136,0.000,0.133,0.600
"(210, 1060, '0')",0.000,40.000,40.000,0.000,0.000,0.000,0,0,37.414,23.400,0,0.412,0.000,0,0.000,40.000,0.000,0.000,0.412
"(210, 1030, '0')",0.076,24.233,25.178,3.359,0.006,0.128,0,0,37.414,23.400,3,0.590,0.000,0,3.138,22.136,0.000,0.133,0.156
"(1031, 1030, '0')",0.142,21.748,23.450,5.061,0.020,0.211,0,1,37.414,23.400,3,0.671,0.000,0,5.329,20.609,0.000,0.216,0.369
