key,tt_sd,speed_ref_avg,speed_avg,speed_sd,tt_var,tt_cv,incidents,bus_stops,median_inc,median_age,intersections,tt_avg,speed_ref_sd,tt_sd_adj,speed_hist_sd,speed_hist_avg,road_closures,speed_cv,tf
"(287, 131, '0')",0.049,34.797,37.101,6.133,0.002,0.195,0,0,24.821,46.000,2,0.251,0.000,0,2.518,34.454,0.000,0.165,0.131
"(110, 106, '0')",0.049,32.933,36.072,5.103,0.002,0.142,0,0,24.821,46.000,3,0.346,0.000,0,4.462,32.298,0.000,0.141,0.130
"(32, 106, '0')",0.049,34.797,37.101,6.133,0.002,0.195,0,0,24.821,46.000,2,0.251,0.000,0,2.518,34.454,0.000,0.165,0.435
"(107, 106, '0')",0.057,32.933,31.049,7.981,0.003,0.267,0,0,24.821,46.000,4,0.214,0.000,0,3.814,31.612,0.000,0.257,0.126
"(471, 473, '0')",0.093,41.010,40.959,6.509,0.009,0.188,0,0,42.628,25.600,0,0.495,0.000,0,5.685,38.001,0.000,0.159,0.234
"(33, 840, '0')",0.047,24.855,25.263,3.719,0.002,0.151,0,0,30.907,26.700,2,0.308,0.000,0,4.241,22.531,0.000,0.147,0.167
"(839, 840, '0')",0.074,19.884,20.466,4.867,0.005,0.228,0,0,30.907,26.700,3,0.323,0.000,0,2.991,17.987,0.000,0.238,0.073
"(853, 840, '0')",0.040,24.855,25.263,3.719,0.002,0.156,0,0,36.974,29.000,3,0.254,0.000,0,4.241,22.531,0.000,0.147,0.131
"(854, 840, '0')",0.074,19.884,20.466,4.867,0.005,0.228,0,0,30.907,26.700,3,0.323,0.000,0,2.991,17.987,0.000,0.238,0.068
"(33, 209, '0')",0.089,19.884,20.466,4.867,0.008,0.225,0,0,30.907,26.700,2,0.393,0.000,0,2.991,17.987,0.000,0.238,0.151
"(222, 209, '0')",0.036,24.855,25.263,3.719,0.001,0.154,0,0,36.974,29.000,4,0.232,0.000,0,4.241,22.531,0.000,0.147,0.146
"(542, 209, '0')",0.015,65.244,67.082,2.274,0.000,0.044,1,0,36.974,29.000,1,0.341,0.000,0,3.114,63.865,0.000,0.034,0.267
"(34, 1305, '0')",0.049,29.204,26.693,8.311,0.002,0.322,0,0,30.907,26.700,2,0.151,0.000,0,6.378,26.272,0.000,0.311,0.098
"(1304, 1305, '0')",0.049,31.690,32.441,4.130,0.002,0.130,0,1,30.907,26.700,4,0.373,0.000,0,3.793,29.010,0.000,0.127,0.082
"(34, 893, '0')",0.049,31.690,32.441,4.130,0.002,0.130,0,1,30.907,26.700,4,0.373,0.000,0,3.793,29.010,0.000,0.127,0.144
"(34, 1515, '0')",0.109,42.253,41.878,7.881,0.012,0.271,2,0,30.907,26.700,1,0.402,0.000,0,6.779,39.729,0.000,0.188,0.000
"(488, 486, '0')",0.056,32.933,36.266,5.430,0.003,0.168,1,0,42.500,36.500,1,0.333,0.000,0,4.802,31.049,0.000,0.150,0.297
"(464, 461, '0')",0.032,37.904,40.363,4.223,0.001,0.113,0,0,15.738,46.800,1,0.281,0.000,0,6.926,34.441,0.000,0.105,0.217
"(35, 130, '0')",0.061,24.855,24.784,5.636,0.004,0.225,0,0,30.907,26.700,6,0.273,0.000,0,4.953,23.761,0.000,0.227,0.311
"(35, 91, '0')",0.103,21.748,24.434,7.713,0.011,0.288,0,1,45.536,33.100,3,0.359,0.000,0,4.042,20.091,0.000,0.316,0.156
"(1306, 91, '0')",0.025,24.855,24.784,5.636,0.001,0.232,0,0,30.907,26.700,2,0.106,0.000,0,4.953,23.761,0.000,0.227,0.086
"(491, 493, '0')",0.091,31.690,33.463,7.550,0.008,0.224,0,0,42.205,21.100,2,0.408,0.000,0,4.350,28.687,0.000,0.226,0.128
"(477, 479, '0')",0.058,37.282,35.574,7.378,0.003,0.204,0,0,15.738,46.800,3,0.283,0.000,0,6.248,35.884,0.000,0.207,0.438
"(36, 498, '0')",0.079,18.020,19.204,3.870,0.006,0.182,0,0,41.694,33.600,1,0.431,0.000,0,3.502,17.457,0.000,0.201,0.092
"(36, 26, '0')",0.069,22.991,23.865,4.930,0.005,0.200,0,2,45.663,29.600,2,0.347,0.000,0,3.999,21.217,0.000,0.207,0.119
"(36, 40, '0')",0.060,22.991,22.557,4.420,0.004,0.188,0,0,45.663,29.600,4,0.320,0.000,0,3.273,20.816,0.000,0.196,0.155
"(495, 40, '0')",0.132,22.991,23.865,4.930,0.018,0.202,0,2,41.694,33.600,3,0.656,0.000,0,3.999,21.217,0.000,0.207,0.161
"(483, 484, '0')",0.000,25.000,25.000,0.000,0.000,0.000,0,0,42.500,36.500,0,0.424,0.000,0,0.000,25.000,0.000,0.000,0.424
"(452, 673, '0')",0.126,39.768,37.625,9.279,0.016,0.261,1,0,17.434,24.500,1,0.483,0.000,0,9.576,34.150,0.000,0.247,0.205
"(37, 225, '0')",0.095,24.855,24.279,3.579,0.009,0.151,0,1,15.738,46.800,3,0.629,0.000,0,3.066,23.088,0.000,0.147,0.111
"(1364, 225, '0')",0.131,22.991,22.557,4.420,0.017,0.188,0,1,15.738,46.800,3,0.696,0.000,0,3.273,20.816,0.000,0.196,0.104
"(37, 97, '0')",0.131,22.991,22.557,4.420,0.017,0.188,0,1,45.663,29.600,3,0.696,0.000,0,3.273,20.816,0.000,0.196,0.110
"(37, 247, '0')",0.071,49.710,44.014,9.883,0.005,0.291,0,0,45.663,29.600,1,0.244,0.000,0,10.162,43.787,0.000,0.225,0.334
"(245, 247, '0')",0.071,49.710,44.014,9.883,0.005,0.291,0,0,41.694,33.600,1,0.244,0.000,0,10.162,43.787,0.000,0.225,0.353
"(119, 216, '0')",0.011,32.933,36.072,5.103,0.000,0.169,0,0,36.974,29.000,4,0.062,0.000,0,4.462,32.298,0.000,0.141,0.240
"(46, 216, '0')",0.010,67.108,67.238,2.633,0.000,0.044,1,0,36.974,29.000,1,0.233,0.000,0,2.750,66.571,0.000,0.039,0.131
"(119, 118, '0')",0.034,34.797,36.324,5.835,0.001,0.159,0,0,24.821,46.000,3,0.212,0.000,0,4.653,32.790,0.000,0.161,0.130
"(124, 118, '0')",0.005,34.797,35.690,7.155,0.000,0.228,0,0,24.821,46.000,1,0.023,0.000,0,4.639,31.884,0.000,0.200,0.121
"(555, 118, '0')",0.083,34.797,35.690,7.155,0.007,0.247,0,0,24.821,46.000,1,0.336,0.000,0,4.639,31.884,0.000,0.200,0.320
"(24, 446, '0')",0.000,40.000,40.000,0.000,0.000,0.000,0,0,24.432,39.300,0,0.338,0.000,0,0.000,40.000,0.000,0.000,0.338
"(38, 39, '0')",0.042,39.768,42.214,5.128,0.002,0.139,1,0,39.750,29.900,1,0.305,0.000,0,4.982,39.418,0.000,0.121,0.207
"(424, 381, '0')",0.061,42.875,39.677,6.960,0.004,0.215,0,0,20.893,29.500,1,0.285,0.000,0,6.037,39.754,0.000,0.175,0.333
"(618, 620, '0')",0.024,60.894,64.254,2.936,0.001,0.051,0,0,30.543,28.900,2,0.467,0.000,0,2.265,60.428,0.000,0.046,0.404
"(417, 419, '0')",0.045,42.875,43.244,6.169,0.002,0.176,1,0,50.641,41.800,5,0.254,0.000,0,6.130,41.250,0.000,0.143,0.217
"(39, 444, '0')",0.013,9.942,10.220,3.345,0.000,0.266,0,0,39.750,29.900,1,0.048,0.000,0,1.881,8.670,0.000,0.327,0.125
