stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,0.299,-7.235,-4.376,0.769,1.035,0.656,-0.871,-1.253,-1.513,3393860237.555,-0.041
norefined,2,-0.188,-7.264,-4.335,0.713,1.009,0.587,-0.878,-1.253,-1.553,2327946126.678,0.026
norefined,3,-0.681,-7.257,-4.307,0.680,0.997,0.527,-0.884,-1.243,-1.582,838157524.158,0.094
norefined,4,-1.165,-7.252,-4.246,0.638,0.976,0.434,-0.892,-1.219,-1.616,385316196.184,0.161
norefined,5,-1.598,-7.283,-4.113,0.545,0.946,0.264,-0.885,-1.148,-1.595,331355379.186,0.219
norefined,6,-1.114,-7.394,-4.111,0.519,0.932,0.259,-0.849,-1.115,-1.603,348565689.322,0.151
norefined,7,-1.569,-7.404,-3.996,0.448,0.916,0.120,-0.842,-1.048,-1.582,314951037.019,0.212
norefined,8,-1.081,-7.491,-4.018,0.442,0.907,0.154,-0.802,-1.022,-1.594,333073934.438,0.144
norefined,9,-1.552,-7.484,-3.920,0.388,0.898,0.046,-0.797,-0.964,-1.574,307500806.073,0.207
norefined,10,-1.064,-7.560,-3.952,0.390,0.890,0.097,-0.758,-0.941,-1.588,325343635.174,0.141
refined,11,-1.552,-7.484,-3.920,0.388,0.898,0.046,-0.797,-0.964,-1.574,307500806.073,0.207
refined,12,-0.356,-3.552,-1.436,-0.406,-0.065,0.339,-0.145,1.045,0.521,776847696.853,0.100
refined,13,-0.586,-3.643,-1.500,-0.327,0.296,0.400,-0.257,0.353,-0.268,261690213.236,0.161
refined,14,-0.951,-5.722,-2.619,-0.138,0.264,0.350,-0.357,0.290,-0.373,223043346.970,0.166
refined,15,-1.159,-6.878,-3.376,-0.063,0.060,0.429,-0.522,0.466,-0.184,219460191.134,0.168
refined,16,-1.186,-6.984,-3.504,-0.115,0.008,0.465,-0.549,0.578,-0.077,218874573.207,0.170
refined,17,-1.223,-7.205,-3.645,-0.119,-0.028,0.481,-0.578,0.624,-0.045,218807089.037,0.170
refined,18,-1.224,-7.206,-3.654,-0.128,-0.032,0.485,-0.581,0.636,-0.033,218799293.391,0.170
refined,19,-1.229,-7.236,-3.672,-0.129,-0.036,0.488,-0.584,0.641,-0.030,218798412.902,0.170
refined,20,-1.229,-7.233,-3.671,-0.130,-0.037,0.488,-0.584,0.642,-0.028,218798308.100,0.170
