stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.943,"[-1.672, -0.214]",0.729,-2.582,0.012
norefined,c,-6.798,"[-11.315, -2.281]",4.517,-3.004,0.004
norefined,s,-2.910,"[-5.134, -0.687]",2.224,-2.612,0.011
norefined,k0,-1.017,"[-2.493, 0.459]",1.476,-1.375,0.174
norefined,k1,1.138,"[-0.286, 2.562]",1.424,1.595,0.115
norefined,k2,0.548,"[-0.281, 1.378]",0.829,1.319,0.192
norefined,k3,-0.630,"[-1.728, 0.467]",1.097,-1.146,0.256
norefined,k4,0.729,"[-0.306, 1.763]",1.034,1.406,0.164
norefined,k5,-0.197,"[-1.298, 0.904]",1.101,-0.357,0.722
refined,tt,-1.232,"[-1.771, -0.692]",0.539,-4.559,0.000
refined,c,-7.131,"[-9.854, -4.407]",2.723,-5.226,0.000
refined,s,-3.483,"[-4.958, -2.009]",1.474,-4.716,0.000
refined,k0,0.219,"[-0.621, 1.058]",0.840,0.520,0.605
refined,k1,0.186,"[-0.525, 0.896]",0.710,0.522,0.604
refined,k2,0.506,"[-0.105, 1.116]",0.611,1.653,0.103
refined,k3,-0.600,"[-1.302, 0.102]",0.702,-1.705,0.093
refined,k4,0.273,"[-0.308, 0.855]",0.582,0.938,0.352
refined,k5,-0.598,"[-1.484, 0.287]",0.885,-1.349,0.182
