stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,18.934,2.347,0.000,19,0,9,733428776.710,40654471.653
refined,52.211,2.347,0.000,19,0,9,733428776.710,15283097.090
