stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.419,"[-2.618, -0.22]",1.199,-2.011,0.054
norefined,c,-7.803,"[-14.279, -1.327]",6.476,-2.047,0.050
norefined,s,-3.676,"[-6.578, -0.774]",2.902,-2.152,0.040
norefined,k0,-1.195,"[-3.137, 0.747]",1.942,-1.045,0.305
norefined,k1,1.214,"[-0.121, 2.55]",1.336,1.545,0.133
norefined,k2,-0.082,"[-1.39, 1.226]",1.308,-0.106,0.916
norefined,k3,0.054,"[-2.055, 2.163]",2.109,0.043,0.966
norefined,k4,-0.829,"[-2.648, 0.991]",1.820,-0.774,0.445
norefined,k5,-0.041,"[-2.142, 2.06]",2.101,-0.033,0.974
refined,tt,-0.977,"[-1.295, -0.66]",0.318,-5.228,0.000
refined,c,-6.582,"[-8.636, -4.528]",2.054,-5.444,0.000
refined,s,-2.964,"[-3.951, -1.978]",0.987,-5.105,0.000
refined,k0,0.347,"[-0.212, 0.907]",0.559,1.055,0.300
refined,k1,0.212,"[-0.176, 0.6]",0.388,0.929,0.361
refined,k2,0.359,"[-0.138, 0.855]",0.496,1.228,0.229
refined,k3,0.648,"[-0.194, 1.489]",0.841,1.308,0.201
refined,k4,-0.372,"[-1.04, 0.296]",0.668,-0.946,0.352
refined,k5,-0.408,"[-1.132, 0.317]",0.724,-0.956,0.347
