stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.111,"[-1.862, -0.361]",0.751,-2.954,0.004
norefined,c,-5.024,"[-8.822, -1.225]",3.799,-2.640,0.010
norefined,s,-3.034,"[-5.094, -0.973]",2.061,-2.939,0.005
norefined,k0,0.076,"[-0.737, 0.89]",0.814,0.188,0.852
norefined,k1,0.965,"[-0.769, 2.698]",1.733,1.111,0.271
norefined,k2,-1.348,"[-2.541, -0.154]",1.193,-2.254,0.027
norefined,k3,0.219,"[-0.955, 1.392]",1.174,0.372,0.711
norefined,k4,0.730,"[-0.223, 1.683]",0.953,1.528,0.131
norefined,k5,-0.474,"[-1.354, 0.405]",0.879,-1.077,0.285
refined,tt,-1.123,"[-1.552, -0.694]",0.429,-5.226,0.000
refined,c,-6.531,"[-9.019, -4.042]",2.488,-5.239,0.000
refined,s,-3.389,"[-4.615, -2.162]",1.226,-5.515,0.000
refined,k0,0.025,"[-0.506, 0.556]",0.531,0.093,0.927
refined,k1,-0.675,"[-1.7, 0.35]",1.025,-1.314,0.193
refined,k2,0.321,"[-0.312, 0.954]",0.633,1.012,0.315
refined,k3,-0.242,"[-0.951, 0.466]",0.709,-0.683,0.497
refined,k4,-0.010,"[-0.514, 0.493]",0.503,-0.041,0.967
refined,k5,0.217,"[-0.35, 0.785]",0.567,0.765,0.447
