stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,-2.307,-6.841,-4.282,-0.311,-1.845,-1.000,1.727,-1.569,-0.338,1468629432.471,1584,0,0,0.337
norefined,2,-2.361,-7.053,-3.966,-0.319,-1.696,-0.920,1.556,-1.360,-0.296,1436078615.687,1584,0,0,0.335
norefined,3,-1.995,-7.221,-3.870,-0.404,-1.585,-0.764,1.505,-1.191,-0.241,1385511786.633,1584,0,0,0.276
norefined,4,-1.586,-7.391,-3.747,-0.449,-1.491,-0.709,1.390,-1.084,-0.235,1213132699.824,1584,0,0,0.215
norefined,5,-1.128,-7.526,-3.713,-0.463,-1.402,-0.733,1.294,-1.023,-0.226,1203690553.920,1584,0,0,0.150
norefined,6,-1.539,-7.591,-3.521,-0.480,-1.287,-0.746,1.212,-0.901,-0.156,1144507437.807,1584,0,0,0.203
norefined,7,-1.054,-7.682,-3.547,-0.502,-1.243,-0.753,1.165,-0.870,-0.159,1148910888.541,1584,0,0,0.137
norefined,8,-1.476,-7.739,-3.362,-0.506,-1.130,-0.760,1.086,-0.759,-0.101,1096693597.291,1584,0,0,0.191
norefined,9,-0.987,-7.813,-3.409,-0.527,-1.095,-0.764,1.058,-0.728,-0.100,1104776984.193,1584,0,0,0.126
norefined,10,-1.421,-7.862,-3.235,-0.522,-0.988,-0.768,0.986,-0.629,-0.049,1064447223.729,1584,0,0,0.181
refined,11,-1.421,-7.862,-3.235,-0.522,-0.988,-0.768,0.986,-0.629,-0.049,1064447223.729,1584,0,0,0.181
refined,12,0.724,0.309,0.704,0.098,1.014,-0.419,0.702,3.067,0.659,8096853067.397,1584,0,0,2.342
refined,13,-2.583,-2.036,-2.525,0.580,-2.671,2.885,-1.323,-10.233,1.700,2461687825.707,1584,0,0,1.269
refined,14,0.536,-7.381,-1.214,-1.701,2.140,-2.819,-0.674,5.123,0.701,6404564728.911,1584,0,0,-0.073
refined,15,-1.301,14.750,1.821,2.690,-5.212,5.530,1.682,-11.686,-0.966,9072405994.450,1584,0,0,-0.088
refined,16,4.906,-79.878,-10.889,-11.540,19.190,-24.809,-4.170,58.738,9.334,7732910427.905,1584,0,0,-0.061
refined,17,9.237,-215.158,-31.723,-20.616,47.825,-47.232,3.913,131.187,34.702,7554368384.825,1584,0,0,-0.043
refined,18,-18.705,398.225,59.608,21.470,-111.442,93.773,-40.223,-218.859,-63.183,9812284759.933,1584,0,0,-0.047
refined,19,2743.188,-61667.582,-9073.648,-1715.429,16406.791,-12831.930,6250.728,32854.178,10686.172,9397825563.429,1584,0,0,-0.044
refined,20,-48244.659,-46190.598,-20969.206,-2983.962,41283.793,1502.798,6750.414,49785.312,29438.848,4971728929.771,1584,0,0,1.044
