stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,38.319,2.023,0.000,76,0,9,2252010474.095,366338850.628
refined,63.901,2.023,0.000,76,0,9,2252010474.095,234982938.859
