stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.869,"[-1.344, -0.393]",0.476,-3.045,0.003
norefined,c,-4.993,"[-7.64, -2.346]",2.647,-3.146,0.002
norefined,s,-2.423,"[-3.797, -1.049]",1.374,-2.941,0.004
norefined,k0,0.808,"[-0.111, 1.728]",0.920,1.466,0.147
norefined,k1,-0.832,"[-1.468, -0.195]",0.637,-2.179,0.033
norefined,k2,-1.243,"[-2.269, -0.217]",1.026,-2.021,0.047
norefined,k3,0.817,"[-0.219, 1.852]",1.036,1.315,0.193
norefined,k4,-0.486,"[-1.153, 0.182]",0.668,-1.214,0.229
norefined,k5,-0.497,"[-1.046, 0.052]",0.549,-1.510,0.136
refined,tt,-0.851,"[-1.119, -0.583]",0.268,-5.295,0.000
refined,c,-5.009,"[-6.294, -3.724]",1.285,-6.502,0.000
refined,s,-2.562,"[-3.326, -1.798]",0.764,-5.595,0.000
refined,k0,-0.289,"[-0.837, 0.259]",0.548,-0.879,0.382
refined,k1,0.073,"[-0.252, 0.398]",0.325,0.375,0.709
refined,k2,-0.082,"[-0.62, 0.456]",0.538,-0.255,0.799
refined,k3,-0.231,"[-0.895, 0.433]",0.664,-0.580,0.564
refined,k4,-0.053,"[-0.475, 0.369]",0.422,-0.211,0.834
refined,k5,-0.067,"[-0.398, 0.264]",0.331,-0.338,0.736
