stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,128.192,2.023,0.000,76,0,9,3647452120.114,200190969.095
refined,181.391,2.023,0.000,76,0,9,3647452120.114,143793535.037
