stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,164.835,2.023,0.000,0,9,3205206838.587,138501890.696,76
refined,281.435,2.023,0.000,0,9,3205206838.587,82598366.553,76
