stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,-0.257,-6.993,-1.310,0.981,1.349,0.137,-1.038,0.945,-0.308,1630749038.551,0.037
norefined,2,-0.727,-6.978,-1.383,0.899,1.271,0.083,-1.106,0.889,-0.301,719808667.973,0.104
norefined,3,-1.132,-6.933,-1.567,0.777,1.157,0.026,-1.172,0.776,-0.258,530644007.123,0.163
norefined,4,-0.852,-6.942,-1.898,0.671,1.039,-0.058,-1.170,0.604,-0.233,392453057.447,0.123
norefined,5,-1.229,-6.862,-2.143,0.589,0.922,-0.111,-1.178,0.500,-0.148,394088024.501,0.179
norefined,6,-0.762,-6.895,-2.303,0.609,0.914,-0.118,-1.111,0.494,-0.157,346882918.753,0.111
norefined,7,-1.244,-6.826,-2.374,0.582,0.859,-0.140,-1.130,0.473,-0.101,365582908.589,0.182
norefined,8,-0.767,-6.867,-2.496,0.606,0.863,-0.136,-1.059,0.477,-0.119,320287603.666,0.112
norefined,9,-1.254,-6.801,-2.542,0.582,0.816,-0.158,-1.080,0.461,-0.072,349224896.672,0.184
norefined,10,-0.773,-6.849,-2.641,0.605,0.825,-0.148,-1.007,0.469,-0.095,304446843.996,0.113
refined,11,-0.773,-6.849,-2.641,0.605,0.825,-0.148,-1.007,0.469,-0.095,304446843.996,0.113
refined,12,-0.871,-5.017,-2.879,-0.009,-0.288,-0.190,0.394,0.590,-0.398,197375169.092,0.174
refined,13,-1.235,-7.285,-3.831,-0.036,-0.109,0.104,0.484,0.828,-0.460,185078304.384,0.170
refined,14,-1.238,-7.234,-3.691,-0.113,-0.083,0.104,0.574,0.798,-0.494,183794512.473,0.171
refined,15,-1.331,-7.739,-3.956,-0.108,-0.081,0.175,0.636,0.858,-0.493,183660690.534,0.172
refined,16,-1.294,-7.489,-3.829,-0.118,-0.086,0.154,0.643,0.822,-0.491,183630589.566,0.173
refined,17,-1.330,-7.701,-3.935,-0.113,-0.080,0.177,0.662,0.847,-0.488,183619696.803,0.173
refined,18,-1.311,-7.581,-3.875,-0.117,-0.084,0.166,0.659,0.832,-0.488,183616164.824,0.173
refined,19,-1.326,-7.669,-3.918,-0.115,-0.081,0.175,0.665,0.842,-0.487,183614631.714,0.173
refined,20,-1.317,-7.615,-3.892,-0.116,-0.083,0.170,0.663,0.835,-0.487,183614037.766,0.173
