stage,iter,theta_tt,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,0.000,273069735.575,13905,0,0,
norefined,2,-0.500,244832180.360,15441,7296,1688,
norefined,3,-1.000,216927388.699,17105,7904,1782,
norefined,4,-1.500,203356895.472,18777,7942,1731,
norefined,5,-2.000,195470624.204,20449,7942,1741,
norefined,6,-2.500,193403433.258,22113,7904,1704,
norefined,7,-2.000,194205269.377,23793,7980,1730,
norefined,8,-2.500,189749887.045,25450,7867,1688,
norefined,9,-2.000,191419521.328,27130,7980,1734,
norefined,10,-2.500,188694981.731,27130,0,0,
refined,11,-2.500,188694981.731,27130,0,0,
refined,12,-1.721,198320629.822,27130,5760,728,
refined,13,-2.124,196168098.700,27130,6240,398,
refined,14,-2.514,194420007.049,27130,6270,222,
refined,15,-2.502,194649908.024,27130,6270,96,
refined,16,-2.501,194650711.172,27130,6240,1,
refined,17,-2.502,194678403.952,27130,6300,88,
refined,18,-2.499,194680052.734,27130,6210,2,
refined,19,-2.502,194711920.128,27130,6300,80,
refined,20,-2.495,194715187.134,27130,0,0,
