theta_attr_grid,f_vals,grad_f_vals,hessian_f_vals
-15.0,89136.3,-5526.2,206.3
-14.5,88241.8,-5641.1,233.9
-14.0,87330.3,-5760.9,265.3
-13.5,86402.2,-5885.9,301.0
-13.0,85457.9,-6016.6,341.9
-12.5,84497.9,-6153.6,388.8
-12.0,83523.1,-6297.3,442.9
-11.5,82534.4,-6448.5,505.5
-11.0,81533.0,-6607.9,578.3
-10.5,80520.4,-6776.5,663.5
-10.0,79498.7,-6955.3,763.7
-9.5,78469.9,-7145.6,882.5
-9.0,77436.9,-7348.9,1024.1
-8.5,76402.8,-7566.9,1194.5
-8.0,75371.3,-7801.6,1401.2
-7.5,74346.0,-8056.0,1654.7
-7.0,73329.3,-8332.5,1968.7
-6.5,72324.3,-8631.2,2362.3
-6.0,71333.4,-8976.2,2864.6
-5.5,70372.6,-9355.7,3515.0
-5.0,69448.2,-9798.1,4375.6
-4.5,68603.6,-10251.9,5531.6
-4.0,67974.9,-10399.3,7045.4
-3.5,67450.7,-11500.5,9330.0
-3.0,67366.9,-13162.2,12757.8
-2.5,69401.7,-15830.6,14678.7
-2.0,78199.5,-5152.4,-8198.6
-1.5,66110.0,-20426.8,-68617.8
-1.0,47748.1,-9389.6,333640.2
-0.5,243303.7,831039.5,4510803.8
0.0,1732423.1,10499430.3,42196244.0
0.5,22024212.1,0.0,-0.0
1.0,22024212.1,0.0,-0.0
1.5,22024212.1,0.0,-0.0
2.0,22024212.1,0.0,-0.0
2.5,22024212.1,0.0,-0.0
3.0,22024212.1,0.0,-0.0
3.5,22024212.1,0.0,-0.0
4.0,22024212.1,0.0,-0.0
4.5,22024212.1,0.0,-0.0
5.0,22024212.1,0.0,-0.0
5.5,22024212.1,0.0,-0.0
6.0,22024212.1,0.0,-0.0
6.5,22024212.1,0.0,-0.0
7.0,22024212.1,0.0,-0.0
7.5,22024212.1,0.0,-0.0
8.0,22024212.1,0.0,-0.0
8.5,22024212.1,0.0,-0.0
9.0,22024212.1,0.0,-0.0
9.5,22024212.1,0.0,-0.0
10.0,22024212.1,0.0,-0.0
10.5,22024212.1,0.0,-0.0
11.0,22024212.1,0.0,-0.0
11.5,22024212.1,0.0,-0.0
12.0,22024212.1,0.0,-0.0
12.5,22024212.1,0.0,-0.0
13.0,22024212.1,0.0,-0.0
13.5,22024212.1,0.0,-0.0
14.0,22024212.1,0.0,-0.0
14.5,22024212.1,0.0,-0.0
15.0,22024212.1,0.0,-0.0
