theta_attr_grid,f_vals,grad_f_vals,hessian_f_vals
-15.0,86621581.2,-1778794.7,-329172.4
-14.5,85513362.6,-1949898.9,-371319.9
-14.0,84298354.4,-2142406.8,-419271.5
-13.5,82964180.6,-2359136.2,-473744.9
-13.0,81497139.2,-2603217.6,-535505.9
-12.5,79882149.3,-2878104.2,-605357.8
-12.0,78102735.0,-3187574.6,-684125.7
-11.5,76141064.0,-3535725.7,-772634.9
-11.0,73978067.0,-3926954.9,-871686.4
-10.5,71593669.2,-4365934.3,-982029.2
-10.0,68967178.1,-4857583.9,-1104336.7
-9.5,66077881.6,-5407061.9,-1239195.7
-9.0,62905927.2,-6019805.7,-1387122.5
-8.5,59433569.0,-6701687.7,-1548621.8
-8.0,55646886.3,-7459388.6,-1724305.9
-7.5,51538096.1,-8301147.3,-1915069.2
-7.0,47108585.5,-9238115.1,-2122264.6
-6.5,42372787.4,-10286587.7,-2347710.8
-6.0,37362977.7,-11471375.8,-2593128.5
-5.5,32134975.9,-12830368.6,-2858202.2
-5.0,26774550.6,-14419791.0,-3135769.4
-4.5,21728751.7,-16244013.9,-3283983.1
-4.0,17477114.6,-18038141.8,-2910555.6
-3.5,13312680.3,-19780267.9,-2009633.3
-3.0,9338041.9,-21341187.3,-268807.5
-2.5,5849464.3,-22247881.3,2966851.6
-2.0,2961243.0,-21898796.7,8571833.3
-1.5,848803.1,-19375164.4,18054965.1
-1.0,0.0,-12148000.9,34199314.2
-0.5,1505045.3,4589209.2,64074132.1
0.0,11146108.5,54361491.6,140698125.3
0.5,335998317.7,133699444.9,-832158409.0
1.0,358674631.4,2474922.0,-18320706.7
1.5,359044190.0,63744.8,-457748.2
2.0,359053486.1,1806.9,-12791.7
2.5,359053734.6,53.4,-374.2
3.0,359053742.0,1.6,-11.3
3.5,359053742.3,0.1,-0.4
4.0,359053742.3,0.0,-0.0
4.5,359053742.3,0.0,-0.0
5.0,359053742.3,0.0,-0.0
5.5,359053742.3,0.0,-0.0
6.0,359053742.3,0.0,-0.0
6.5,359053742.3,0.0,-0.0
7.0,359053742.3,0.0,-0.0
7.5,359053742.3,0.0,-0.0
8.0,359053742.3,0.0,-0.0
8.5,359053742.3,0.0,-0.0
9.0,359053742.3,0.0,-0.0
9.5,359053742.3,0.0,-0.0
10.0,359053742.3,0.0,-0.0
10.5,359053742.3,0.0,-0.0
11.0,359053742.3,0.0,-0.0
11.5,359053742.3,0.0,-0.0
12.0,359053742.3,0.0,-0.0
12.5,359053742.3,0.0,-0.0
13.0,359053742.3,0.0,-0.0
13.5,359053742.3,0.0,-0.0
14.0,359053742.3,0.0,-0.0
14.5,359053742.3,0.0,-0.0
15.0,359053742.3,0.0,-0.0
