stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-2.000,"[-2.517, -1.483]",0.517,-10.749,0.000
refined,tt,-1.500,"[-1.5, -1.5]",0.000,-31223.964,0.000
