stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-2.000,"[-3.147, -0.853]",1.147,-4.842,0.008
refined,tt,-1.471,"[-2.242, -0.7]",0.771,-5.299,0.006
