stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,59.619,7.709,0.002,5,0,1,23312.114,1465.727
refined,9891.155,7.709,0.000,5,0,1,23312.114,9.424
